Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,,,,12573.0,13147.0,11199.0,9318.0,11015.0
Gross Margin %,,,,,,,12.2,19.8,19.3,15.2,19.8
Operating Income USD Mil,,,,,,,-2428.0,1167.0,958.0,310.0,1098.0
Operating Margin %,,,,,,,-19.3,8.9,8.6,3.3,10.0
Net Income USD Mil,,,,,,,-2909.0,-256.0,-863.0,-400.0,288.0
Earnings Per Share USD,,,,,,,,-1.4,-4.73,-2.19,1.56
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,182.0,182.0,183.0,185.0
Book Value Per Share * USD,,,,,,,,,,38.16,31.68
Operating Cash Flow USD Mil,,,,,,,452.0,842.0,875.0,-311.0,1008.0
Cap Spending USD Mil,,,,,,,-567.0,-444.0,-391.0,-404.0,-401.0
Free Cash Flow USD Mil,,,,,,,-115.0,398.0,484.0,-715.0,607.0
Free Cash Flow Per Share * USD,,,,,,,,,,-4.87,
Working Capital USD Mil,,,,,,,,182.0,162.0,360.0,
