Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1441.0,1551.0,1541.0,1883.0,2072.0,2307.0,2531.0,2665.0,3018.0,3401.0,3494.0
Gross Margin %,54.1,52.9,48.4,73.9,74.6,73.5,72.4,70.8,67.3,64.9,64.9
Operating Income USD Mil,505.0,335.0,518.0,742.0,887.0,914.0,958.0,992.0,1104.0,1149.0,1182.0
Operating Margin %,35.1,21.6,33.6,39.4,42.8,39.6,37.9,37.2,36.6,33.8,33.8
Net Income USD Mil,-126.0,24.0,299.0,411.0,412.0,681.0,505.0,545.0,607.0,674.0,610.0
Earnings Per Share USD,-0.72,0.14,1.81,2.45,2.49,4.44,3.4,3.83,4.66,5.18,4.66
Dividends USD,,0.15,0.3,0.3,0.38,0.48,0.6,0.8,0.92,1.0,1.15
Payout Ratio % *,,107.1,18.1,12.6,12.6,10.8,12.2,20.8,20.5,16.2,24.6
Shares Mil,163.0,164.0,165.0,168.0,166.0,153.0,149.0,142.0,130.0,130.0,131.0
Book Value Per Share * USD,,6.97,8.35,10.59,10.59,12.23,13.45,12.73,11.5,15.68,20.55
Operating Cash Flow USD Mil,367.0,550.0,522.0,487.0,729.0,615.0,877.0,778.0,814.0,949.0,1060.0
Cap Spending USD Mil,-73.0,-77.0,-90.0,-77.0,-54.0,-63.0,-73.0,-54.0,-52.0,-74.0,-75.0
Free Cash Flow USD Mil,294.0,473.0,432.0,411.0,675.0,551.0,804.0,724.0,762.0,874.0,985.0
Free Cash Flow Per Share * USD,,2.88,2.61,2.44,3.63,3.6,5.27,4.88,6.14,6.24,
Working Capital USD Mil,458.0,472.0,772.0,1237.0,1483.0,1232.0,1583.0,980.0,753.0,942.0,
