Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,180.0,235.0,300.0,312.0,397.0,451.0,460.0,515.0,543.0,560.0,573.0
Gross Margin %,78.3,79.0,79.7,81.1,80.9,81.7,82.7,80.7,81.5,81.4,81.9
Operating Income EUR Mil,27.0,13.0,25.0,33.0,38.0,41.0,35.0,44.0,68.0,82.0,87.0
Operating Margin %,15.2,5.4,8.3,10.6,9.5,9.1,7.7,8.5,12.5,14.6,15.3
Net Income EUR Mil,23.0,1.0,12.0,17.0,10.0,31.0,23.0,26.0,38.0,45.0,41.0
Earnings Per Share EUR,0.46,0.03,0.24,0.33,0.19,0.62,0.48,0.52,0.77,0.9,0.83
Dividends EUR,,,,0.18,0.25,0.25,0.35,0.35,0.35,0.35,0.35
Payout Ratio % *,,,,65.7,125.0,40.3,88.7,60.2,50.1,43.0,42.3
Shares Mil,50.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0
Book Value Per Share * EUR,1.03,3.67,3.77,3.44,3.34,3.65,3.58,3.98,3.79,4.12,4.69
Operating Cash Flow EUR Mil,25.0,26.0,44.0,40.0,47.0,67.0,52.0,32.0,73.0,68.0,89.0
Cap Spending EUR Mil,,-20.0,-19.0,-19.0,-23.0,-27.0,-24.0,-25.0,-24.0,-40.0,-41.0
Free Cash Flow EUR Mil,25.0,6.0,25.0,22.0,24.0,40.0,28.0,7.0,49.0,28.0,48.0
Free Cash Flow Per Share * EUR,0.36,0.5,0.11,0.58,0.44,0.82,0.58,0.51,0.46,0.63,
Working Capital EUR Mil,,-103.0,-17.0,-11.0,-46.0,-66.0,-12.0,2.0,-29.0,-10.0,
