Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,1.0,3.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gross Margin %,93.0,90.4,,100.0,91.5,93.2,82.2,68.8,71.9,60.2,64.8
Operating Income GBP Mil,-1.0,-0.0,-1.0,-1.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
Operating Margin %,-69.6,-1.3,,-940.7,-9.2,3.7,-2.4,-9.7,5.9,-16.8,-5.3
Net Income GBP Mil,-1.0,0.0,-1.0,-1.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
Earnings Per Share GBP,-0.02,,-0.03,-0.02,,,,,,,
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,21.0,42.0,42.0,44.0,47.0,52.0,54.0,58.0,60.0,64.0,59.0
Book Value Per Share * GBP,,,,,,,,,,,0.01
Operating Cash Flow GBP Mil,-0.0,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Cap Spending GBP Mil,,-0.0,-0.0,,,,,,,,
Free Cash Flow GBP Mil,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Free Cash Flow Per Share * GBP,,,,,,,,,,,
Working Capital GBP Mil,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
