Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2010.0,2194.0,2159.0,2221.0,2538.0,2928.0,2951.0,2922.0,2674.0,3745.0,3899.0
Gross Margin %,51.8,52.5,51.2,50.9,50.2,53.1,53.5,54.7,56.7,53.4,54.8
Operating Income USD Mil,355.0,380.0,381.0,380.0,301.0,382.0,419.0,446.0,375.0,454.0,-722.0
Operating Margin %,17.7,17.3,17.7,17.1,11.9,13.0,14.2,15.2,14.0,12.1,-18.5
Net Income USD Mil,260.0,284.0,274.0,266.0,245.0,314.0,313.0,322.0,251.0,429.0,-793.0
Earnings Per Share USD,1.68,1.87,1.83,1.82,1.7,2.18,2.16,2.24,1.76,1.94,-3.46
Dividends USD,0.17,0.18,0.2,0.2,0.2,0.22,0.25,0.27,0.29,0.31,0.34
Payout Ratio % *,9.8,9.9,10.9,11.0,10.6,10.0,9.6,12.0,14.6,16.1,
Shares Mil,155.0,152.0,150.0,146.0,144.0,144.0,145.0,144.0,143.0,221.0,231.0
Book Value Per Share * USD,10.04,10.66,12.46,12.97,13.08,15.52,17.14,17.71,16.27,36.26,32.56
Operating Cash Flow USD Mil,388.0,336.0,362.0,362.0,393.0,370.0,418.0,560.0,497.0,563.0,595.0
Cap Spending USD Mil,-66.0,-79.0,-56.0,-46.0,-74.0,-95.0,-101.0,-106.0,-72.0,-126.0,-151.0
Free Cash Flow USD Mil,322.0,257.0,306.0,316.0,319.0,274.0,316.0,455.0,425.0,437.0,444.0
Free Cash Flow Per Share * USD,2.08,1.69,2.04,2.17,2.06,1.91,2.22,2.95,3.36,1.85,
Working Capital USD Mil,670.0,589.0,773.0,955.0,289.0,183.0,347.0,553.0,721.0,1111.0,
