Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,,,,,35.0,54.0,61.0,79.0,226.0,291.0,322.0
Gross Margin %,,,,,61.8,61.2,62.0,62.8,61.5,62.2,62.7
Operating Income EUR Mil,,,,,2.0,3.0,5.0,5.0,37.0,56.0,70.0
Operating Margin %,,,,,4.4,5.9,8.1,6.3,16.4,19.1,21.6
Net Income EUR Mil,,,,,-3.0,-2.0,-1.0,4.0,22.0,35.0,48.0
Earnings Per Share EUR,,,,,-0.03,-0.02,-0.01,0.04,0.14,0.19,0.26
Dividends EUR,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,122.0,122.0,122.0,97.0,149.0,184.0,184.0
Book Value Per Share * EUR,,,,,,,,1.65,1.39,2.72,3.14
Operating Cash Flow EUR Mil,,,,,3.0,5.0,3.0,11.0,54.0,78.0,85.0
Cap Spending EUR Mil,,,,,-1.0,-0.0,-4.0,-21.0,-29.0,-109.0,-89.0
Free Cash Flow EUR Mil,,,,,2.0,4.0,-1.0,-10.0,26.0,-31.0,-4.0
Free Cash Flow Per Share * EUR,,,,,,,,-0.1,0.04,0.02,
Working Capital EUR Mil,,,,,-10.0,-8.0,-1.0,207.0,105.0,30.0,
