Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,5.64,3.34,5.93,5.96,7.54,11.23,10.71,12.06,8.67,8.92,8.57
Accounts Receivable,14.82,19.55,14.91,14.49,15.74,14.56,15.52,14.97,15.27,15.96,15.29
Inventory,13.76,14.16,13.35,13.37,14.46,14.91,13.49,13.73,14.09,13.65,14.0
Other Current Assets,0.87,3.4,1.22,0.75,1.79,1.5,1.59,1.36,0.39,0.42,0.59
Total Current Assets,35.1,40.44,35.4,34.57,39.53,42.2,41.31,42.11,38.43,38.95,38.45
Net PP&E,48.34,45.12,52.98,41.87,40.55,39.22,40.22,40.72,39.2,36.6,37.09
Intangibles,13.73,11.19,8.3,19.7,17.1,15.84,15.78,15.09,19.93,22.24,22.09
Other Long-Term Assets,2.84,3.24,3.32,3.87,2.82,2.74,2.69,2.08,2.44,2.21,2.36
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,12.31,16.46,10.81,10.55,9.95,10.55,8.54,8.45,8.34,7.61,
Short-Term Debt,4.19,6.42,4.61,1.74,2.78,1.36,1.74,0.45,0.37,1.83,2.6
Taxes Payable,,,,,1.26,1.04,0.86,1.41,1.58,2.56,
Accrued Liabilities,4.32,3.9,3.42,5.05,3.14,3.34,3.56,3.24,3.69,4.29,
Other Short-Term Liabilities,0.9,,0.3,0.24,0.28,0.39,0.6,0.61,0.65,0.62,13.35
Total Current Liabilities,21.72,26.79,19.14,17.57,17.42,16.68,15.3,14.16,14.62,16.91,15.95
Long-Term Debt,16.73,20.58,13.82,33.15,33.87,30.83,32.03,35.44,35.85,32.0,29.37
Other Long-Term Liabilities,9.83,9.48,10.09,10.31,9.14,8.91,7.82,7.64,7.27,6.73,6.63
Total Liabilities,48.28,56.84,43.06,61.03,60.43,56.42,55.15,57.24,57.75,55.64,51.96
Total Stockholders' Equity,51.72,43.16,56.94,38.97,39.57,43.58,44.85,42.76,42.25,44.36,48.04
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
