Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,,,5662.0,6727.0,8025.0,9248.0,10842.0,12331.0
Gross Margin %,,,,,,100.0,100.0,,,,
Operating Income USD Mil,,,,,,880.0,1091.0,1268.0,1461.0,1586.0,1744.0
Operating Margin %,,,,,,15.5,16.2,15.8,15.8,14.6,14.1
Net Income USD Mil,,,,,,778.0,955.0,419.0,1228.0,1401.0,1565.0
Earnings Per Share USD,,,,,,,,0.34,1.0,1.15,1.28
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,1224.0,1229.0,1218.0,1218.0
Book Value Per Share * USD,,,,,,,,,187.69,243.77,246.4
Operating Cash Flow USD Mil,,,,,,1565.0,1993.0,2220.0,2546.0,3158.0,3601.0
Cap Spending USD Mil,,,,,,-511.0,-391.0,-492.0,-722.0,-669.0,-639.0
Free Cash Flow USD Mil,,,,,,1054.0,1602.0,1728.0,1824.0,2489.0,2962.0
Free Cash Flow Per Share * USD,,,,,,,,,25.17,38.71,
Working Capital USD Mil,,,,,,,3359.0,4282.0,7031.0,8855.0,
