Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,3303.0,3406.0,3931.0,5123.0,6233.0,6332.0,6325.0,6123.0,5546.0,5519.0,5632.0
Gross Margin %,61.0,58.4,64.1,65.0,59.6,59.4,62.0,62.6,60.8,61.4,62.1
Operating Income USD Mil,314.0,47.0,488.0,824.0,747.0,607.0,734.0,716.0,348.0,665.0,797.0
Operating Margin %,9.5,1.4,12.4,16.1,12.0,9.6,11.6,11.7,6.3,12.0,14.2
Net Income USD Mil,310.0,64.0,400.0,673.0,605.0,505.0,638.0,560.0,229.0,509.0,647.0
Earnings Per Share USD,0.86,0.19,1.13,1.71,1.58,1.37,1.83,1.75,0.77,1.81,2.32
Dividends USD,,,,,,,0.6,0.66,0.72,0.76,0.78
Payout Ratio % *,,,,,,,26.2,34.1,57.3,67.5,33.6
Shares Mil,361.0,335.0,353.0,393.0,384.0,368.0,348.0,321.0,297.0,281.0,278.0
Book Value Per Share * USD,4.98,5.03,7.29,9.52,11.78,12.97,12.07,11.46,11.06,10.01,10.41
Operating Cash Flow USD Mil,1009.0,889.0,975.0,1346.0,1462.0,1386.0,1349.0,1268.0,974.0,986.0,1164.0
Cap Spending USD Mil,-188.0,-290.0,-135.0,-222.0,-407.0,-303.0,-221.0,-175.0,-160.0,-175.0,-148.0
Free Cash Flow USD Mil,821.0,600.0,839.0,1123.0,1056.0,1083.0,1128.0,1092.0,814.0,811.0,1016.0
Free Cash Flow Per Share * USD,2.27,1.79,2.38,3.1,2.75,3.09,3.39,3.21,2.84,2.8,
Working Capital USD Mil,653.0,1759.0,2626.0,2992.0,3306.0,4588.0,3776.0,4064.0,2786.0,2076.0,
