Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,4.39,4.2,5.39,4.16,1.51,1.61,3.33,2.06,1.55,2.74,3.1
Accounts Receivable,7.42,7.89,7.55,8.31,8.81,8.37,10.14,10.79,10.45,10.36,11.53
Inventory,18.92,17.68,19.09,21.43,23.03,24.19,23.83,25.73,27.56,23.31,25.23
Other Current Assets,1.96,2.59,2.76,2.5,2.59,3.01,2.53,3.01,1.89,6.56,1.53
Total Current Assets,32.69,32.36,34.79,36.39,35.93,37.18,39.83,41.58,41.44,42.97,41.39
Net PP&E,12.82,13.76,14.35,14.41,13.25,13.28,12.1,11.3,12.33,9.77,9.79
Intangibles,53.22,52.87,49.8,47.94,49.53,48.26,46.28,45.47,44.87,43.83,45.07
Other Long-Term Assets,1.27,1.01,1.06,1.26,1.28,1.28,1.8,1.64,1.35,3.43,3.75
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.07,3.48,2.54,3.32,6.59,5.89,7.72,7.18,7.36,7.63,8.46
Short-Term Debt,1.0,1.17,0.5,2.3,0.92,1.93,0.92,1.14,0.99,0.8,1.43
Taxes Payable,,,,,,0.07,0.39,,,,
Accrued Liabilities,4.32,3.99,4.65,3.65,4.09,3.62,4.4,4.49,3.74,3.95,4.22
Other Short-Term Liabilities,0.29,0.25,0.65,0.52,0.82,1.59,1.57,0.66,1.23,2.2,0.58
Total Current Liabilities,9.68,8.89,8.34,9.8,12.43,13.1,15.0,13.47,13.31,14.58,14.69
Long-Term Debt,37.9,33.0,29.35,23.83,28.96,28.11,27.98,32.31,27.07,39.45,34.09
Other Long-Term Liabilities,2.22,3.89,3.92,4.87,7.23,6.03,5.0,5.4,4.47,4.5,5.63
Total Liabilities,49.8,45.77,41.62,38.5,48.62,47.25,47.98,51.19,44.85,58.53,54.41
Total Stockholders' Equity,50.2,54.23,58.38,61.5,51.38,52.75,52.02,48.81,55.15,41.47,45.59
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
