Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.56,0.59,1.6,1.13,0.63,13.84,11.67,0.71,3.55,13.18,1.0
Accounts Receivable,17.93,17.44,16.1,17.73,18.93,16.56,17.2,19.81,19.24,18.23,11.68
Inventory,18.28,19.57,17.08,17.75,17.72,14.76,15.21,18.11,17.59,15.82,8.2
Other Current Assets,5.85,5.63,6.16,6.21,5.97,5.35,5.41,6.34,5.53,6.49,1.66
Total Current Assets,42.62,43.24,40.94,42.82,43.25,50.51,49.49,44.98,45.91,53.72,22.54
Net PP&E,18.52,19.48,18.93,18.42,18.29,15.49,16.0,17.89,17.99,16.23,9.12
Intangibles,27.76,29.59,29.93,27.53,27.04,24.12,23.38,25.37,24.15,20.46,64.42
Other Long-Term Assets,11.09,7.69,10.2,11.23,11.42,9.88,11.13,11.76,11.95,9.59,3.92
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,15.26,16.71,15.61,17.6,18.46,14.8,15.64,18.26,19.99,15.32,8.82
Short-Term Debt,13.84,12.0,0.81,7.67,6.77,1.17,9.39,11.96,0.74,10.98,4.17
Taxes Payable,,1.33,1.77,1.21,2.31,0.84,1.25,1.52,1.4,1.14,1.35
Accrued Liabilities,10.39,9.41,9.97,13.45,13.82,13.29,13.33,15.23,14.86,14.46,6.7
Other Short-Term Liabilities,4.62,4.41,4.08,,,,,,,,
Total Current Liabilities,44.1,43.86,32.23,39.93,41.36,30.1,39.62,46.98,36.98,41.9,21.04
Long-Term Debt,6.04,6.88,18.1,12.54,12.22,26.18,17.59,19.68,33.15,17.94,48.53
Other Long-Term Liabilities,13.07,12.9,15.18,16.4,17.41,14.99,14.99,15.88,14.88,12.34,17.24
Total Liabilities,63.22,63.64,65.52,68.87,70.99,71.26,72.2,82.54,85.01,72.18,86.81
Total Stockholders' Equity,36.78,36.36,34.48,31.13,29.01,28.74,27.8,17.46,14.99,27.82,13.19
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
