Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,23.11,14.62,16.83,24.58,20.92,20.92,18.38,20.18,16.11,18.96,13.76
Accounts Receivable,5.63,2.66,3.54,3.77,3.89,4.43,4.4,4.99,4.81,5.31,6.22
Inventory,4.15,4.14,2.72,2.86,3.5,3.58,4.46,4.4,4.85,5.27,6.03
Other Current Assets,1.91,2.56,2.85,3.09,2.85,4.08,3.98,4.48,3.19,2.89,3.37
Total Current Assets,34.79,23.99,25.93,34.29,31.16,33.0,31.22,34.06,28.97,32.43,29.38
Net PP&E,39.34,42.58,37.54,34.62,38.32,36.17,34.42,42.46,44.31,44.97,47.5
Intangibles,2.02,1.58,3.17,2.77,3.33,5.09,5.41,5.48,7.31,8.51,9.17
Other Long-Term Assets,23.84,31.85,33.36,28.32,27.2,25.73,28.95,18.0,19.42,14.09,13.96
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.0,4.39,2.58,3.09,3.51,2.65,2.71,3.32,3.27,3.87,4.2
Short-Term Debt,0.15,0.41,0.35,0.22,0.1,0.26,0.07,0.12,2.0,0.92,2.25
Taxes Payable,,,,,,,0.49,,0.19,0.54,0.48
Accrued Liabilities,12.36,5.86,4.3,4.38,3.92,3.75,1.56,4.29,4.4,2.0,1.83
Other Short-Term Liabilities,,,,,,,1.3,,,2.54,2.16
Total Current Liabilities,16.51,10.66,7.23,7.69,7.53,6.66,6.13,7.73,9.86,9.86,10.91
Long-Term Debt,9.95,7.93,9.06,8.76,8.49,11.51,11.49,10.73,13.7,13.07,14.22
Other Long-Term Liabilities,11.13,11.6,10.72,8.55,8.29,8.68,8.07,9.76,10.63,12.94,13.23
Total Liabilities,37.59,30.19,27.01,25.0,24.31,26.86,25.69,28.22,34.19,35.87,38.36
Total Stockholders' Equity,62.41,69.81,72.99,75.0,75.69,73.14,74.31,71.78,65.81,64.13,61.64
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
