Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,24.0,29.0,26.0,24.0,22.0,21.0,21.0,22.0,29.0,34.0,40.0
Gross Margin %,37.1,36.2,37.2,29.8,32.2,34.5,36.4,37.6,40.3,42.3,45.3
Operating Income GBP Mil,-0.0,-0.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0
Operating Margin %,-0.4,-0.4,4.6,7.0,8.2,9.5,10.1,10.7,12.2,12.6,12.8
Net Income GBP Mil,-1.0,-1.0,-0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0
Earnings Per Share GBP,-0.04,-0.05,-0.02,0.01,0.02,0.04,0.06,0.06,0.1,0.12,0.13
Dividends GBP,,,,,0.01,0.01,0.02,0.04,0.06,0.07,0.08
Payout Ratio % *,,,,,,15.1,43.6,50.8,70.1,71.2,59.3
Shares Mil,21.0,21.0,21.0,24.0,24.0,24.0,23.0,24.0,24.0,24.0,25.0
Book Value Per Share * GBP,0.47,0.41,0.39,0.41,0.42,0.46,0.46,0.49,0.56,0.57,0.64
Operating Cash Flow GBP Mil,0.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0
Cap Spending GBP Mil,-2.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0
Free Cash Flow GBP Mil,-2.0,0.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0
Free Cash Flow Per Share * GBP,-0.08,0.01,0.08,0.09,0.08,0.09,0.13,0.13,0.17,0.24,
Working Capital GBP Mil,-3.0,-3.0,-2.0,-2.0,-0.0,-3.0,1.0,0.0,1.0,-7.0,
