Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,42.78,26.18,35.36,9.14,13.45,22.38,16.02,17.61,2.25,7.69,13.41
Accounts Receivable,7.39,7.33,6.71,2.73,3.0,2.14,2.16,1.69,2.1,1.56,1.88
Inventory,11.51,24.65,8.33,3.09,3.39,2.73,2.57,1.79,2.52,2.24,2.13
Other Current Assets,1.87,1.86,1.03,0.36,0.2,0.37,3.88,1.97,1.98,6.05,0.43
Total Current Assets,63.56,60.03,51.43,15.32,20.04,27.62,24.63,23.06,8.85,17.55,17.84
Net PP&E,30.99,27.72,31.82,44.82,41.63,38.36,38.41,48.74,67.03,63.79,63.08
Intangibles,0.04,0.04,0.04,23.81,23.0,20.31,20.06,18.46,18.76,15.5,16.82
Other Long-Term Assets,5.41,12.21,16.72,16.05,15.33,13.71,16.9,9.75,5.36,3.17,2.25
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.97,8.71,,,1.11,1.15,1.58,0.58,0.76,0.54,
Short-Term Debt,,0.17,,0.06,,0.05,,,,,5.37
Taxes Payable,,,,0.71,1.43,1.84,0.69,0.14,0.04,0.01,0.05
Accrued Liabilities,7.48,,,,1.89,2.45,3.7,4.62,4.67,2.61,
Other Short-Term Liabilities,20.81,25.39,19.23,10.04,7.06,3.85,1.79,3.3,4.07,1.38,5.02
Total Current Liabilities,31.27,34.26,19.23,10.81,11.49,9.35,7.76,8.64,9.54,4.53,10.44
Long-Term Debt,0.24,,0.19,22.31,18.03,15.74,29.01,40.5,43.9,38.19,33.57
Other Long-Term Liabilities,9.51,9.69,11.28,20.64,19.82,16.86,15.69,13.73,14.88,35.15,34.67
Total Liabilities,41.02,43.96,30.7,53.75,49.33,41.95,52.46,62.87,68.32,77.87,78.68
Total Stockholders' Equity,58.98,56.04,69.3,46.25,50.67,58.05,47.54,37.13,31.68,22.13,21.32
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
