Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.8,3.68,1.04,0.99,1.06,0.77,0.85,0.73,0.95,0.99,3.67
Accounts Receivable,0.17,0.12,0.16,0.14,0.15,0.25,0.27,0.28,0.37,0.49,0.4
Inventory,0.83,0.58,0.6,0.59,0.65,0.67,0.66,0.49,0.47,0.51,0.55
Other Current Assets,0.57,0.56,1.34,0.61,0.88,1.09,0.97,0.95,0.99,1.18,1.45
Total Current Assets,2.37,4.95,3.15,2.33,2.74,2.78,2.75,2.45,2.78,3.17,6.06
Net PP&E,84.31,81.61,79.73,83.39,83.42,83.53,84.91,74.52,77.12,77.98,76.53
Intangibles,11.98,11.94,12.53,10.83,10.84,10.29,9.19,20.6,18.9,17.01,15.47
Other Long-Term Assets,1.34,1.49,4.59,3.45,3.01,3.4,3.14,2.43,1.2,1.84,1.94
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.76,1.4,0.59,1.16,1.44,1.33,1.3,0.88,0.42,0.29,0.32
Short-Term Debt,3.8,3.62,0.07,1.41,3.61,3.73,4.31,4.99,5.14,4.32,4.25
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,4.03,5.51,4.29,3.89,3.79,3.89,3.82,4.77,5.22,4.18,3.86
Other Short-Term Liabilities,6.61,9.13,5.31,5.29,5.85,6.97,6.74,7.39,8.52,9.04,9.3
Total Current Liabilities,16.2,19.65,10.27,11.74,14.7,15.91,16.17,18.03,19.3,17.83,17.73
Long-Term Debt,59.16,49.02,53.09,56.18,51.01,46.55,42.72,48.45,47.03,45.0,42.08
Other Long-Term Liabilities,0.1,0.62,1.22,0.95,1.13,3.54,1.88,3.12,2.85,2.2,1.37
Total Liabilities,75.45,69.29,64.57,68.87,66.84,66.0,60.77,69.59,69.17,65.02,61.18
Total Stockholders' Equity,24.55,30.71,35.43,31.13,33.16,34.0,39.23,30.41,30.83,34.98,38.82
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
