Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,7.4,9.6,7.02,8.6,4.88,8.2,8.65,8.28,5.47,4.73,4.83
Accounts Receivable,4.13,4.01,4.12,3.53,2.67,2.69,2.92,3.31,6.9,7.95,7.49
Inventory,,,,,,,,,,,
Other Current Assets,72.58,69.07,68.44,66.81,70.79,67.51,67.1,67.14,63.14,64.46,66.08
Total Current Assets,84.11,82.69,79.58,78.94,78.34,78.4,78.67,78.72,75.51,77.15,78.4
Net PP&E,5.18,5.35,5.12,5.72,5.0,5.61,5.37,5.46,5.48,4.93,4.31
Intangibles,9.56,9.95,9.28,10.96,8.85,9.4,9.12,9.16,11.28,10.46,10.2
Other Long-Term Assets,1.14,2.01,6.02,4.38,7.81,6.59,6.84,6.66,7.73,7.46,7.09
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.76,0.73,0.71,0.84,1.08,0.69,0.77,0.8,0.88,0.84,0.98
Short-Term Debt,,,,,,,,,,,0.75
Taxes Payable,,,,,,,,,,,0.05
Accrued Liabilities,2.5,2.63,3.12,3.2,2.02,2.24,2.7,3.25,3.85,4.1,3.64
Other Short-Term Liabilities,72.78,68.84,67.77,66.19,70.14,66.31,66.22,66.5,63.06,64.2,66.18
Total Current Liabilities,76.03,72.2,71.6,70.23,73.24,69.25,69.68,70.54,67.79,69.14,71.6
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,1.43,1.64,1.57,2.03,2.0,1.98,2.42,1.91,2.53,2.24,2.89
Total Liabilities,77.46,73.84,73.17,72.26,75.24,71.22,72.1,72.46,70.32,71.39,74.49
Total Stockholders' Equity,22.54,26.16,26.83,27.74,24.76,28.78,27.9,27.54,29.68,28.61,25.51
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
