Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.63,0.29,2.02,0.24,3.05,0.45,0.25,0.23,0.33,0.19,0.37
Accounts Receivable,2.7,2.94,2.35,2.03,2.4,2.41,2.11,2.5,2.2,2.17,1.67
Inventory,,,,,,,,,,,
Other Current Assets,-3.32,,,,,,,,,,
Total Current Assets,,3.24,4.36,2.27,5.46,2.86,2.36,2.73,2.52,2.35,2.05
Net PP&E,84.16,79.05,79.99,82.76,78.92,82.48,87.6,87.6,85.48,88.32,77.79
Intangibles,,,,,,,,,,,
Other Long-Term Assets,-84.16,17.71,15.65,14.97,15.62,14.66,10.04,9.67,12.0,9.33,20.17
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,1.15,0.59,0.8,1.12,0.89,0.94,,,0.97
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,,1.09,0.99,0.99,0.96,1.01,1.04,1.08,1.14
Accrued Liabilities,2.32,2.33,1.53,1.62,1.7,1.55,1.55,1.56,1.39,1.29,0.34
Other Short-Term Liabilities,-2.32,1.37,0.59,,,0.01,,,0.79,0.79,
Total Current Liabilities,,3.7,3.28,3.3,3.49,3.67,3.41,3.5,3.22,3.16,2.44
Long-Term Debt,56.34,55.89,52.76,55.04,54.39,58.81,54.88,57.43,48.31,42.95,29.21
Other Long-Term Liabilities,-56.34,3.72,3.91,3.13,3.37,3.25,2.85,2.18,2.47,2.71,3.8
Total Liabilities,64.11,63.31,59.95,61.47,61.24,65.72,61.13,63.12,54.0,48.82,35.45
Total Stockholders' Equity,35.89,36.69,40.05,38.53,38.76,34.28,38.87,36.88,46.0,51.18,64.55
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
