Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,7586.0,6826.0,5344.0,5319.0,5642.0,5788.0,7349.0,7803.0,8072.0,8959.0,9305.0
Gross Margin %,27.9,25.5,23.1,26.4,25.1,25.7,26.1,27.6,29.9,31.4,31.5
Operating Income USD Mil,750.0,-1124.0,44.0,314.0,316.0,380.0,547.0,773.0,838.0,1280.0,1316.0
Operating Margin %,9.9,-16.5,0.8,5.9,5.6,6.6,7.4,9.9,10.4,14.3,14.1
Net Income USD Mil,707.0,-1458.0,-5.0,185.0,174.0,250.0,349.0,532.0,615.0,930.0,965.0
Earnings Per Share USD,10.32,-21.32,-0.08,2.65,2.52,3.61,4.82,7.25,8.31,12.48,12.91
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,68.0,68.0,68.0,69.0,69.0,69.0,72.0,73.0,74.0,75.0,75.0
Book Value Per Share * USD,68.86,46.1,46.74,47.67,49.7,53.79,59.5,62.69,64.24,76.39,91.33
Operating Cash Flow USD Mil,875.0,570.0,672.0,320.0,301.0,588.0,525.0,662.0,912.0,1328.0,1201.0
Cap Spending USD Mil,-163.0,-218.0,-109.0,-156.0,-276.0,-208.0,-367.0,-562.0,-504.0,-672.0,-866.0
Free Cash Flow USD Mil,712.0,352.0,563.0,164.0,25.0,379.0,159.0,100.0,408.0,655.0,335.0
Free Cash Flow Per Share * USD,10.4,5.15,8.23,2.38,-0.07,5.47,4.03,0.26,6.42,8.42,
Working Capital USD Mil,1238.0,1369.0,1475.0,1200.0,1297.0,1721.0,1765.0,1176.0,-9.0,753.0,
