Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,4994.0,5167.0,4048.0,4275.0,4709.0,4899.0,5434.0,6054.0,6369.0,7473.0,8348.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,1853.0,2028.0,1093.0,779.0,1392.0,1450.0,1705.0,2115.0,2279.0,2993.0,3521.0
Operating Margin %,37.1,39.2,27.0,18.2,29.6,29.6,31.4,34.9,35.8,40.1,42.2
Net Income USD Mil,2407.0,1212.0,787.0,454.0,864.0,928.0,1071.0,1321.0,1447.0,1889.0,2279.0
Earnings Per Share USD,1.97,1.05,0.68,0.38,0.7,0.69,0.78,0.95,1.03,1.31,1.57
Dividends USD,0.2,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.23
Payout Ratio % *,,,,,,,,,24.2,20.9,14.6
Shares Mil,1222.0,1157.0,1160.0,1194.0,1229.0,1275.0,1293.0,1315.0,1327.0,1334.0,1349.0
Book Value Per Share * USD,,,,,,,,,154.57,206.55,218.22
Operating Cash Flow USD Mil,1746.0,2.0,1437.0,-9.0,2464.0,1266.0,1656.0,2348.0,1246.0,155.0,1009.0
Cap Spending USD Mil,-168.0,-188.0,-140.0,-129.0,-180.0,-148.0,-249.0,-400.0,-266.0,,
Free Cash Flow USD Mil,1578.0,-186.0,1297.0,-138.0,2284.0,1118.0,1407.0,1948.0,980.0,155.0,1014.0
Free Cash Flow Per Share * USD,,,,,,,,,12.07,23.85,
Working Capital USD Mil,,,,,,,,,,,
