Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,10299.0,10799.0,10381.0,11990.0,13322.0,14883.0,14203.0,14534.0,16915.0,19291.0,21470.0
Gross Margin %,47.4,48.7,45.4,47.8,47.5,47.7,49.3,47.6,48.3,48.6,49.3
Operating Income EUR Mil,949.0,1070.0,508.0,894.0,953.0,920.0,1181.0,883.0,1059.0,1491.0,1888.0
Operating Margin %,9.2,9.9,4.9,7.5,7.2,6.2,8.3,6.1,6.3,7.7,8.8
Net Income EUR Mil,555.0,644.0,245.0,567.0,613.0,526.0,787.0,490.0,634.0,1017.0,1129.0
Earnings Per Share EUR,2.57,3.07,1.22,2.71,2.93,2.52,3.76,2.35,3.15,4.99,5.56
Dividends EUR,0.42,0.5,0.5,0.35,0.8,1.0,1.35,1.5,1.5,1.6,2.0
Payout Ratio % *,14.4,16.3,16.2,12.6,25.4,25.6,53.8,50.6,46.7,33.1,31.3
Shares Mil,219.0,213.0,209.0,209.0,209.0,209.0,209.0,209.0,202.0,206.0,205.0
Book Value Per Share * EUR,13.88,15.62,16.18,21.48,24.47,28.18,26.86,29.95,28.55,30.4,31.9
Operating Cash Flow EUR Mil,780.0,497.0,1198.0,894.0,792.0,942.0,634.0,701.0,1090.0,1348.0,1714.0
Cap Spending EUR Mil,-285.0,-376.0,-241.0,-269.0,-376.0,-434.0,-479.0,-548.0,-513.0,-651.0,-756.0
Free Cash Flow EUR Mil,495.0,121.0,957.0,625.0,416.0,508.0,155.0,153.0,577.0,697.0,958.0
Free Cash Flow Per Share * EUR,2.21,2.26,0.57,4.91,0.99,2.57,2.13,-0.17,3.26,2.88,
Working Capital EUR Mil,1709.0,1289.0,1649.0,1972.0,2154.0,2503.0,2125.0,2969.0,2133.0,2121.0,
