Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,,,,,9448.0,8891.0,3018.0,4409.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,,,,,,,,1528.0,1462.0,-4705.0,-3170.0
Operating Margin %,,,,,,,,16.2,16.4,-155.9,-71.9
Net Income USD Mil,,,,,,,,1159.0,1119.0,-2939.0,-2811.0
Earnings Per Share USD,,,,,,,,,,-24.62,-24.15
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,,,123.0,120.0
Book Value Per Share * USD,,,,,,,,,,,2205.65
Operating Cash Flow USD Mil,,,,,,,,5361.0,4631.0,3736.0,3161.0
Cap Spending USD Mil,,,,,,,,,,,
Free Cash Flow USD Mil,,,,,,,,5361.0,4631.0,3736.0,3161.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,,,,,,,,,,,
