Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,2425.0,2492.0,2399.0,4637.0,5891.0,6043.0,8186.0,8241.0,8020.0,8203.0,8524.0
Gross Margin %,49.1,48.2,49.3,52.2,51.9,53.8,51.5,52.5,51.9,53.3,54.7
Operating Income USD Mil,312.0,174.0,244.0,350.0,491.0,654.0,545.0,613.0,743.0,734.0,727.0
Operating Margin %,12.9,7.0,10.2,7.6,8.3,10.8,6.7,7.4,9.3,8.9,8.5
Net Income USD Mil,183.0,92.0,162.0,54.0,276.0,434.0,144.0,439.0,572.0,549.0,530.0
Earnings Per Share USD,3.21,1.76,3.08,0.81,3.78,5.87,1.74,5.27,6.89,6.79,6.72
Dividends USD,,,,0.12,0.15,0.15,0.15,0.15,0.15,0.11,0.15
Payout Ratio % *,,,,15.3,3.4,2.6,5.0,3.6,2.6,1.6,2.3
Shares Mil,57.0,52.0,53.0,67.0,73.0,74.0,82.0,83.0,83.0,81.0,79.0
Book Value Per Share * USD,12.56,16.56,15.87,24.76,28.26,30.8,39.18,49.05,51.02,57.0,58.12
Operating Cash Flow USD Mil,221.0,239.0,214.0,352.0,491.0,570.0,412.0,789.0,900.0,954.0,621.0
Cap Spending USD Mil,-95.0,-88.0,-24.0,-101.0,-170.0,-211.0,-237.0,-256.0,-264.0,-246.0,-319.0
Free Cash Flow USD Mil,126.0,151.0,191.0,251.0,321.0,359.0,175.0,533.0,635.0,708.0,302.0
Free Cash Flow Per Share * USD,1.49,2.23,2.83,2.75,3.35,4.14,0.9,4.84,6.6,9.51,
Working Capital USD Mil,476.0,515.0,632.0,902.0,695.0,1275.0,1446.0,1472.0,1285.0,1314.0,
