Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,8.27,9.63,8.97,4.96,36.01,4.81,3.72,3.41,5.98,5.95,6.63
Accounts Receivable,22.54,20.98,21.13,16.3,12.27,9.43,7.51,11.12,12.62,13.65,13.42
Inventory,3.16,3.68,2.62,3.62,2.4,2.86,3.49,3.93,3.8,3.79,4.01
Other Current Assets,3.47,2.8,2.0,2.98,0.95,1.41,1.13,1.19,0.24,0.51,0.7
Total Current Assets,37.44,37.1,34.73,27.86,51.63,18.51,15.86,19.64,22.65,23.89,24.76
Net PP&E,4.1,4.03,2.97,3.53,2.67,2.81,3.1,2.94,2.43,2.46,2.47
Intangibles,57.78,58.33,62.04,68.3,45.53,78.12,80.9,77.21,74.65,73.27,72.5
Other Long-Term Assets,0.68,0.54,0.27,0.31,0.17,0.55,0.14,0.21,0.27,0.37,0.27
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.84,34.07,29.82,31.48,24.36,17.81,18.05,21.61,24.13,24.57,27.07
Short-Term Debt,4.95,7.62,11.23,,6.41,1.61,2.96,4.75,3.09,1.4,2.31
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,8.23,7.63,4.63,5.63,4.2,2.8,3.7,5.27,4.99,5.78,4.52
Other Short-Term Liabilities,24.07,0.07,0.06,,,0.25,,,,,
Total Current Liabilities,47.09,49.4,45.74,37.1,34.97,22.47,24.72,31.63,32.22,31.75,33.9
Long-Term Debt,33.49,24.33,20.89,23.62,45.34,25.78,23.09,20.47,26.19,28.69,26.81
Other Long-Term Liabilities,6.18,6.7,3.6,5.12,3.84,11.51,11.41,10.62,8.96,8.18,8.21
Total Liabilities,86.75,80.43,70.23,65.84,84.15,59.76,59.22,62.72,67.37,68.62,68.92
Total Stockholders' Equity,13.25,19.57,29.77,34.16,15.85,40.24,40.78,37.28,32.63,31.38,31.08
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
