Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1.0,0.0,0.0,,,,,14.0,3.0,0.0,1.0
Gross Margin %,100.0,100.0,100.0,,,,,8.0,-30.8,-544.0,-120.2
Operating Income USD Mil,-2.0,-3.0,-1.0,-2.0,-1.0,-0.0,-2.0,-2.0,-5.0,-7.0,-7.0
Operating Margin %,-438.8,,-445.9,,,,,-17.7,-150.7,,-938.7
Net Income USD Mil,-2.0,-2.0,-1.0,0.0,-1.0,-0.0,-5.0,-2.0,-5.0,-9.0,-10.0
Earnings Per Share USD,-0.1,-0.08,,,,,-0.1,-0.04,-0.09,-0.1,-0.11
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,17.0,20.0,29.0,39.0,39.0,40.0,49.0,58.0,58.0,85.0,81.0
Book Value Per Share * USD,1.51,1.35,1.14,1.25,1.29,1.28,1.0,0.88,0.99,0.56,0.41
Operating Cash Flow USD Mil,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-6.0,1.0,-0.0,-0.0
Cap Spending USD Mil,-10.0,-10.0,-4.0,-6.0,-6.0,-3.0,-3.0,-3.0,-0.0,-0.0,-0.0
Free Cash Flow USD Mil,-11.0,-12.0,-5.0,-8.0,-8.0,-4.0,-5.0,-8.0,1.0,-0.0,-0.0
Free Cash Flow Per Share * USD,-0.62,-0.74,-0.16,-0.21,-0.2,-0.1,-0.1,-0.21,0.01,,
Working Capital USD Mil,13.0,3.0,4.0,10.0,3.0,-1.0,0.0,-3.0,-12.0,-6.0,
