Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,16593.0,23663.0,11190.0,15845.0,20024.0,19429.0,19052.0,21105.0,16439.0,16208.0,19117.0
Gross Margin %,18.9,17.1,1.4,4.9,9.4,7.8,7.4,8.8,6.8,12.5,13.0
Operating Income USD Mil,2552.0,3104.0,-332.0,267.0,1442.0,1059.0,929.0,1328.0,655.0,1429.0,1817.0
Operating Margin %,15.4,13.1,-3.0,1.7,7.2,5.4,4.9,6.3,4.0,8.8,9.5
Net Income USD Mil,1472.0,1831.0,-294.0,134.0,778.0,505.0,488.0,679.0,81.0,796.0,1094.0
Earnings Per Share USD,2.47,2.99,-0.47,0.21,1.23,0.79,0.76,1.05,0.13,1.24,1.7
Dividends USD,,,,,,,,0.56,0.19,,
Payout Ratio % *,,,,,,,,,,,71.4
Shares Mil,596.0,610.0,630.0,633.0,634.0,636.0,639.0,640.0,641.0,640.0,642.0
Book Value Per Share * USD,,,,,,,,,,,107.62
Operating Cash Flow USD Mil,1935.0,2499.0,1182.0,873.0,1033.0,1200.0,1078.0,1343.0,2157.0,1738.0,1318.0
Cap Spending USD Mil,-520.0,-1019.0,-391.0,-345.0,-441.0,-948.0,-1197.0,-668.0,-374.0,-605.0,-570.0
Free Cash Flow USD Mil,1415.0,1480.0,792.0,528.0,592.0,253.0,-119.0,675.0,1783.0,1133.0,748.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,3491.0,4543.0,3955.0,4357.0,4312.0,3632.0,4450.0,4344.0,4369.0,4116.0,
