Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,6.23,4.67,10.86,11.96,17.85,8.07,4.9,2.61,2.0,4.46
Accounts Receivable,,11.76,16.67,18.93,21.21,16.93,19.58,13.32,6.79,8.14,8.33
Inventory,,18.17,15.64,13.22,12.9,12.67,16.52,18.52,12.12,12.74,11.74
Other Current Assets,,0.89,0.19,0.28,0.55,0.4,0.69,0.48,0.45,0.54,0.32
Total Current Assets,,37.05,37.17,43.29,46.61,47.86,44.87,37.23,21.97,23.42,24.85
Net PP&E,,54.79,55.98,50.46,47.5,46.44,49.04,53.38,58.36,58.01,55.63
Intangibles,,4.76,4.1,3.6,3.27,3.42,3.3,5.14,10.99,9.71,7.66
Other Long-Term Assets,,3.4,2.75,2.65,2.62,2.28,2.78,4.25,8.68,8.86,11.86
Total Assets,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,18.4,25.91,27.78,31.73,24.92,29.01,21.87,11.0,12.59,13.16
Short-Term Debt,,0.08,0.05,2.87,0.06,0.07,0.08,0.09,0.07,0.06,0.06
Taxes Payable,,1.53,1.37,1.23,1.31,1.19,3.12,3.64,1.49,1.04,1.56
Accrued Liabilities,,1.29,1.14,1.14,3.38,3.53,1.43,1.4,1.17,1.54,0.98
Other Short-Term Liabilities,,4.92,2.75,4.08,0.78,0.41,0.97,1.16,0.99,0.85,0.57
Total Current Liabilities,,26.23,31.23,37.1,37.25,30.13,34.61,28.16,14.72,16.09,16.34
Long-Term Debt,,13.81,12.24,13.91,12.79,12.28,11.88,21.7,27.59,23.74,27.25
Other Long-Term Liabilities,,10.8,13.38,13.5,13.04,14.63,15.04,14.84,26.99,29.64,28.79
Total Liabilities,,50.84,56.85,64.51,63.08,57.04,61.53,64.7,69.3,69.48,72.38
Total Stockholders' Equity,,49.16,43.15,35.49,36.92,42.96,38.47,35.3,30.7,30.52,27.62
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
