Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,291.0,258.0,190.0,193.0,208.0,230.0,270.0,343.0,354.0,362.0,373.0
Gross Margin %,100.0,100.0,100.0,100.0,45.4,45.5,44.5,45.1,48.8,47.2,45.5
Operating Income GBP Mil,11.0,14.0,5.0,8.0,5.0,8.0,9.0,-10.0,21.0,14.0,16.0
Operating Margin %,3.6,5.6,2.4,3.9,2.4,3.5,3.3,-2.8,6.0,4.0,4.2
Net Income GBP Mil,7.0,9.0,3.0,4.0,4.0,4.0,5.0,-15.0,14.0,9.0,9.0
Earnings Per Share GBP,0.05,0.06,0.02,0.03,0.03,0.03,0.03,-0.08,0.07,0.04,0.04
Dividends GBP,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02
Payout Ratio % *,28.0,40.2,108.7,27.7,38.6,42.7,52.8,57.5,,29.7,55.6
Shares Mil,141.0,141.0,141.0,145.0,143.0,143.0,189.0,203.0,208.0,210.0,209.0
Book Value Per Share * GBP,0.92,0.97,0.92,0.96,0.97,0.88,0.73,0.7,0.57,0.6,0.62
Operating Cash Flow GBP Mil,28.0,19.0,1.0,6.0,8.0,12.0,3.0,17.0,20.0,19.0,18.0
Cap Spending GBP Mil,-9.0,-8.0,-4.0,-3.0,-4.0,-5.0,-21.0,-15.0,-11.0,-7.0,-6.0
Free Cash Flow GBP Mil,19.0,12.0,-3.0,3.0,3.0,7.0,-18.0,2.0,9.0,12.0,12.0
Free Cash Flow Per Share * GBP,0.13,0.08,-0.02,0.02,0.03,0.05,-0.01,-0.04,0.03,0.05,
Working Capital GBP Mil,-18.0,-32.0,-0.0,-21.0,-4.0,-0.0,7.0,12.0,22.0,17.0,
