Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,21915.0,28416.0,16872.0,20583.0,27182.0,29809.0,37601.0,40633.0,28711.0,24582.0,30975.0
Gross Margin %,7.3,4.4,3.9,4.2,8.0,7.9,4.3,6.3,14.0,11.2,11.7
Operating Income USD Mil,967.0,471.0,-57.0,140.0,1479.0,1621.0,755.0,1632.0,2827.0,1481.0,1591.0
Operating Margin %,4.4,1.7,-0.3,0.7,5.4,5.4,2.0,4.0,9.8,6.0,5.1
Net Income USD Mil,566.0,278.0,-140.0,-29.0,546.0,743.0,412.0,843.0,1540.0,734.0,727.0
Earnings Per Share USD,4.06,2.0,-1.01,-0.21,3.81,5.25,3.0,6.44,12.36,6.12,5.44
Dividends USD,0.4,0.4,0.35,,,0.27,0.9,1.1,1.85,2.1,2.24
Payout Ratio % *,,,,,,,24.8,19.7,12.5,34.6,41.6
Shares Mil,140.0,139.0,138.0,140.0,143.0,142.0,137.0,131.0,124.0,120.0,132.0
Book Value Per Share * USD,,,,,,,438.21,543.22,781.94,975.43,1120.08
Operating Cash Flow USD Mil,1322.0,716.0,663.0,385.0,689.0,1585.0,859.0,1364.0,2131.0,1304.0,1304.0
Cap Spending USD Mil,-747.0,-650.0,-437.0,-297.0,-298.0,-529.0,-570.0,-685.0,-1030.0,-894.0,-1173.0
Free Cash Flow USD Mil,575.0,66.0,226.0,88.0,391.0,1056.0,289.0,679.0,1101.0,410.0,131.0
Free Cash Flow Per Share * USD,,,,,,,45.76,70.79,162.84,103.98,
Working Capital USD Mil,106.0,205.0,334.0,432.0,902.0,1755.0,1918.0,1608.0,1777.0,3860.0,
