Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,14835.0,19166.0,24509.0,34204.0,48077.0,61093.0,74452.0,88988.0,107006.0,135987.0,161154.0
Gross Margin %,22.6,22.3,22.6,22.3,22.4,24.8,27.2,29.5,33.0,35.1,36.5
Operating Income USD Mil,655.0,842.0,1129.0,1406.0,862.0,676.0,745.0,178.0,2233.0,4186.0,3234.0
Operating Margin %,4.4,4.4,4.6,4.1,1.8,1.1,1.0,0.2,2.1,3.1,2.0
Net Income USD Mil,476.0,645.0,902.0,1152.0,631.0,-39.0,274.0,-241.0,596.0,2371.0,1925.0
Earnings Per Share USD,1.12,1.49,2.04,2.53,1.37,-0.09,0.59,-0.52,1.25,4.9,3.93
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,424.0,432.0,442.0,456.0,461.0,453.0,465.0,462.0,477.0,484.0,491.0
Book Value Per Share * USD,2.88,6.23,11.84,15.22,17.07,18.04,19.8,22.23,26.39,37.28,51.17
Operating Cash Flow USD Mil,1405.0,1697.0,3293.0,3495.0,3903.0,4180.0,5475.0,6842.0,11920.0,16443.0,16249.0
Cap Spending USD Mil,-224.0,-333.0,-373.0,-979.0,-1811.0,-3785.0,-3444.0,-4893.0,-4589.0,-6737.0,-9028.0
Free Cash Flow USD Mil,1181.0,1364.0,2920.0,2516.0,2092.0,395.0,2031.0,1949.0,7331.0,9706.0,7221.0
Free Cash Flow Per Share * USD,2.79,3.16,6.61,5.52,3.33,0.87,0.84,2.33,11.41,17.76,
Working Capital USD Mil,1450.0,1411.0,2433.0,3375.0,2594.0,2294.0,1645.0,3238.0,2575.0,1965.0,
