Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1156.0,1280.0,867.0,990.0,1351.0,1216.0,1158.0,1094.0,977.0,971.0,1017.0
Gross Margin %,17.4,20.5,19.1,18.0,17.6,16.2,15.3,16.8,16.1,19.2,19.8
Operating Income USD Mil,84.0,79.0,21.0,43.0,70.0,35.0,-26.0,41.0,36.0,60.0,73.0
Operating Margin %,7.3,6.2,2.4,4.4,5.1,2.9,-2.3,3.7,3.7,6.2,7.2
Net Income USD Mil,8.0,3.0,-98.0,2.0,5.0,3.0,-42.0,22.0,11.0,41.0,53.0
Earnings Per Share USD,0.43,0.53,-2.82,0.09,0.19,0.1,-1.51,0.79,0.4,1.32,1.62
Dividends USD,,,,,,,,,0.11,0.27,0.32
Payout Ratio % *,,,,,,,,,16.7,26.2,19.8
Shares Mil,27.0,28.0,27.0,27.0,28.0,28.0,28.0,28.0,27.0,31.0,33.0
Book Value Per Share * USD,6.29,6.81,5.52,6.07,6.27,5.78,3.58,3.83,4.21,4.62,7.09
Operating Cash Flow USD Mil,75.0,123.0,-2.0,-2.0,45.0,66.0,70.0,95.0,76.0,56.0,61.0
Cap Spending USD Mil,-58.0,-158.0,-26.0,-33.0,-52.0,-48.0,-32.0,-24.0,-23.0,-44.0,-74.0
Free Cash Flow USD Mil,16.0,-35.0,-28.0,-35.0,-7.0,18.0,38.0,71.0,53.0,12.0,-13.0
Free Cash Flow Per Share * USD,0.41,-0.91,-0.72,-0.97,-0.65,0.48,1.39,1.74,1.53,1.33,
Working Capital USD Mil,308.0,201.0,222.0,227.0,228.0,263.0,196.0,159.0,159.0,189.0,
