Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,6.0,9.45,7.84,8.5,9.51,14.65,8.79,10.15,7.67,8.17,7.1
Accounts Receivable,17.01,13.99,16.72,16.73,15.73,15.03,16.51,15.43,15.74,15.65,16.22
Inventory,1.7,1.51,1.56,1.6,1.47,1.36,1.4,1.34,1.08,1.06,1.05
Other Current Assets,3.55,4.4,3.13,3.43,3.57,2.55,2.58,2.59,1.53,1.12,1.41
Total Current Assets,28.26,29.35,29.25,30.25,30.28,33.59,29.28,29.52,26.03,26.01,25.78
Net PP&E,52.58,55.34,57.77,56.76,57.68,55.07,59.12,56.31,52.72,53.51,53.16
Intangibles,15.93,14.02,8.83,8.49,7.98,8.21,8.44,10.28,16.84,14.73,14.96
Other Long-Term Assets,3.23,1.28,4.15,4.5,4.05,3.14,3.17,3.89,4.42,5.74,6.1
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,8.56,5.66,6.11,6.22,5.39,5.6,5.96,5.57,6.39,5.67,5.95
Short-Term Debt,1.96,2.69,1.05,0.07,,0.75,,0.05,0.06,0.05,0.04
Taxes Payable,,,,,,,,,,0.58,
Accrued Liabilities,10.42,10.31,11.49,11.55,11.18,10.78,10.1,10.45,10.93,10.01,9.79
Other Short-Term Liabilities,,,,,1.39,,,,,,
Total Current Liabilities,20.94,18.66,18.65,17.83,17.97,17.13,16.06,16.07,17.38,16.31,15.79
Long-Term Debt,5.88,7.96,6.7,6.09,4.18,8.16,14.32,19.56,30.04,30.71,30.67
Other Long-Term Liabilities,16.51,17.18,19.19,20.51,28.6,22.88,23.42,23.93,22.65,19.88,19.87
Total Liabilities,43.33,43.8,44.54,44.42,50.75,48.17,53.8,59.55,70.08,66.9,66.33
Total Stockholders' Equity,56.67,56.2,55.46,55.58,49.25,51.83,46.2,40.45,29.92,33.1,33.67
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
