Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,32.98,17.58,27.15,25.79,36.21,16.82,22.78,18.95,17.9,19.14,16.68
Accounts Receivable,7.18,7.42,7.39,7.45,8.99,8.41,9.2,8.24,9.08,8.43,8.89
Inventory,,,,,,,,,,,
Other Current Assets,1.81,1.68,1.92,3.24,2.64,2.78,2.83,4.37,2.94,2.39,3.17
Total Current Assets,41.97,26.68,36.46,36.49,47.84,28.01,34.81,31.55,29.92,29.95,28.74
Net PP&E,8.12,9.28,8.74,10.88,12.49,13.27,15.22,15.03,17.98,18.32,19.6
Intangibles,27.12,28.4,24.8,21.91,21.24,31.37,28.22,29.58,31.19,31.51,34.04
Other Long-Term Assets,22.78,35.64,30.0,30.73,18.42,27.35,21.74,23.83,20.9,20.22,17.62
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.12,1.13,1.15,1.12,1.63,1.66,2.49,1.93,1.48,1.74,1.96
Short-Term Debt,,,9.57,,,,,,,,
Taxes Payable,,,,,,0.85,,1.01,1.13,1.21,
Accrued Liabilities,3.2,3.16,3.32,4.04,3.7,4.28,5.08,4.11,4.03,4.25,5.94
Other Short-Term Liabilities,1.02,1.05,1.64,1.01,1.0,1.01,1.32,1.3,1.3,1.36,1.64
Total Current Liabilities,5.34,5.34,15.68,6.17,6.33,7.8,8.9,8.35,7.94,8.57,9.54
Long-Term Debt,12.07,10.63,,,,,,15.12,14.91,14.64,14.57
Other Long-Term Liabilities,0.56,0.63,1.03,1.27,1.74,2.0,2.2,2.93,2.63,3.07,3.31
Total Liabilities,17.96,16.6,16.71,7.44,8.07,9.8,11.1,26.4,25.48,26.27,27.42
Total Stockholders' Equity,82.04,83.4,83.29,92.56,91.93,90.2,88.9,73.6,74.52,73.73,72.58
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
