Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,83.0,88.0,86.0,108.0,109.0,111.0,105.0,109.0,109.0,105.0,101.0
Gross Margin %,48.3,47.9,48.6,47.9,46.1,47.1,45.4,45.4,44.8,46.3,46.2
Operating Income USD Mil,10.0,8.0,8.0,10.0,8.0,8.0,2.0,7.0,-2.0,-3.0,-3.0
Operating Margin %,11.4,9.6,9.4,9.4,7.7,7.0,1.5,6.1,-1.6,-2.9,-2.6
Net Income USD Mil,-1.0,2.0,7.0,19.0,4.0,2.0,-2.0,2.0,-19.0,-4.0,-4.0
Earnings Per Share USD,-0.04,0.05,0.24,0.65,0.13,0.08,-0.06,0.07,-0.57,-0.13,-0.13
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,31.0,31.0,30.0,29.0,30.0,30.0,32.0,33.0,34.0,34.0,34.0
Book Value Per Share * USD,1.66,1.66,,2.36,2.6,2.58,2.48,2.45,2.54,2.08,1.88
Operating Cash Flow USD Mil,12.0,9.0,17.0,12.0,7.0,8.0,4.0,4.0,1.0,5.0,5.0
Cap Spending USD Mil,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-3.0,-1.0,-1.0
Free Cash Flow USD Mil,11.0,8.0,15.0,11.0,5.0,6.0,2.0,2.0,-2.0,4.0,4.0
Free Cash Flow Per Share * USD,0.13,0.12,,0.36,0.18,0.2,0.06,0.06,-0.08,0.11,
Working Capital USD Mil,38.0,32.0,36.0,47.0,48.0,49.0,45.0,39.0,31.0,31.0,
