Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,4.1,2.23,7.43,8.1,6.03,11.18,13.58,11.04,6.53,5.02,4.22
Accounts Receivable,16.18,13.07,15.21,18.43,19.85,17.92,18.05,19.97,18.83,19.12,20.84
Inventory,9.03,9.72,6.53,7.75,7.62,6.99,6.62,7.0,8.18,7.26,7.88
Other Current Assets,2.57,3.15,3.08,2.8,2.36,2.53,2.2,3.1,1.91,1.56,1.7
Total Current Assets,31.87,28.17,32.25,37.08,35.88,38.63,40.46,41.1,35.46,32.96,34.65
Net PP&E,32.45,34.16,30.97,27.77,27.93,27.93,28.04,28.97,27.69,28.32,28.05
Intangibles,26.37,25.86,22.06,23.08,23.99,21.68,19.76,18.77,26.03,24.51,24.36
Other Long-Term Assets,9.31,11.82,14.71,12.06,12.2,11.75,11.75,11.16,10.82,14.21,12.94
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,12.63,10.05,,13.8,14.59,13.36,13.52,13.55,13.86,14.98,
Short-Term Debt,1.28,6.91,1.44,2.31,9.7,3.8,2.91,8.63,4.99,1.99,3.09
Taxes Payable,,,,0.71,0.5,1.13,0.56,0.2,1.07,0.95,0.64
Accrued Liabilities,7.33,9.77,,7.56,6.84,6.43,3.16,7.4,6.29,2.8,
Other Short-Term Liabilities,0.62,0.19,20.31,0.68,0.35,0.32,3.33,0.22,0.44,2.96,20.53
Total Current Liabilities,21.86,26.92,21.74,25.06,31.98,25.05,23.48,30.0,26.66,23.68,24.26
Long-Term Debt,11.55,9.9,16.07,18.94,12.61,12.87,14.76,9.91,24.03,23.13,21.31
Other Long-Term Liabilities,19.78,19.99,16.77,15.34,15.34,13.92,10.29,10.06,9.11,16.76,15.46
Total Liabilities,53.19,56.8,54.58,59.34,59.93,51.84,48.52,49.97,59.81,63.57,61.03
Total Stockholders' Equity,46.81,43.2,45.42,40.66,40.07,48.16,51.48,50.03,40.19,36.43,38.97
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
