Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,1.03,1.28,3.49,1.36,4.9,6.07,4.76,4.31,5.21,5.91,7.88
Accounts Receivable,2.84,2.36,2.36,2.7,3.07,3.4,3.45,3.72,4.44,4.72,4.81
Inventory,26.47,25.93,24.92,26.48,25.48,26.07,27.29,27.73,27.75,29.21,29.8
Other Current Assets,2.77,2.9,3.23,3.05,2.38,1.88,2.21,2.54,2.53,1.42,1.22
Total Current Assets,33.11,32.46,34.0,33.59,35.84,37.42,37.71,38.31,39.94,41.25,43.72
Net PP&E,61.99,63.73,62.5,62.45,60.34,58.58,57.62,56.88,52.15,51.0,48.78
Intangibles,2.73,2.75,2.86,2.96,2.76,2.85,3.18,3.39,4.94,4.87,4.92
Other Long-Term Assets,2.18,1.05,0.63,0.99,1.06,1.15,1.49,1.43,2.97,2.87,2.59
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,12.93,11.71,11.9,11.76,11.98,13.09,14.31,14.54,15.43,16.29,19.03
Short-Term Debt,4.62,4.29,2.5,2.6,0.07,3.22,0.08,0.82,1.0,2.91,2.94
Taxes Payable,,1.52,1.15,0.95,1.02,1.2,1.01,1.17,1.2,1.24,1.71
Accrued Liabilities,6.65,6.74,6.98,6.99,7.23,7.3,7.83,8.0,8.13,8.56,7.89
Other Short-Term Liabilities,4.46,2.83,2.83,2.93,2.83,3.09,3.3,3.67,3.68,3.88,3.97
Total Current Liabilities,28.67,27.09,25.35,25.23,23.14,27.9,26.53,28.21,29.44,32.89,35.54
Long-Term Debt,25.68,23.48,21.19,21.7,26.55,23.06,36.26,42.23,49.09,52.02,53.9
Other Long-Term Liabilities,5.69,6.24,6.02,6.0,6.14,5.77,6.31,6.22,6.63,5.01,4.91
Total Liabilities,60.04,56.81,52.56,52.92,55.83,56.73,69.1,76.66,85.16,89.92,94.35
Total Stockholders' Equity,39.96,43.19,47.44,47.08,44.17,43.27,30.9,23.34,14.84,10.08,5.65
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
