Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.13,1.43,0.89,0.7,0.5,0.49,0.16,0.13,0.08,0.09,0.38
Accounts Receivable,4.34,6.56,5.28,5.66,4.27,3.56,3.56,4.72,4.2,3.42,3.22
Inventory,1.82,2.14,1.97,1.68,1.59,0.95,1.09,1.17,1.1,1.03,0.92
Other Current Assets,4.81,0.63,0.88,1.03,2.32,2.87,2.7,3.02,3.19,3.19,2.73
Total Current Assets,11.11,10.76,9.02,9.07,8.68,7.87,7.51,9.04,8.56,7.73,7.25
Net PP&E,62.42,58.68,62.88,65.88,66.49,58.67,63.23,62.62,65.05,66.61,67.96
Intangibles,2.48,2.06,2.05,1.98,1.84,12.43,12.66,11.82,11.51,10.98,10.61
Other Long-Term Assets,23.99,28.51,26.05,23.06,23.0,21.03,16.6,16.52,14.88,14.68,14.18
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.17,4.85,3.26,2.87,4.05,2.7,2.67,2.92,2.66,2.76,2.39
Short-Term Debt,2.01,4.81,1.19,2.3,4.15,6.65,5.85,4.04,4.54,6.0,2.94
Taxes Payable,,0.09,0.36,0.74,0.44,,,,,,
Accrued Liabilities,3.23,0.5,0.6,0.51,0.44,,,,,,
Other Short-Term Liabilities,,1.93,1.57,2.11,3.37,3.52,3.26,3.57,2.57,2.59,2.56
Total Current Liabilities,10.41,12.18,6.97,8.53,12.45,12.87,11.78,10.53,9.78,11.35,7.9
Long-Term Debt,30.08,34.24,31.96,33.15,30.21,25.44,27.98,28.9,28.79,27.55,31.57
Other Long-Term Liabilities,33.35,31.16,35.62,32.08,31.7,29.05,25.66,27.07,27.58,27.68,27.37
Total Liabilities,73.84,77.58,74.55,73.76,74.36,67.36,65.42,66.5,66.15,66.58,66.84
Total Stockholders' Equity,26.16,22.42,25.45,26.24,25.64,32.64,34.58,33.5,33.85,33.42,33.16
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
