Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2179.0,1962.0,2014.0,2451.0,2489.0,2404.0,2299.0,2313.0,2502.0,2506.0,2564.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,586.0,79.0,109.0,723.0,598.0,482.0,675.0,690.0,760.0,551.0,571.0
Operating Margin %,26.9,4.0,5.4,29.5,24.0,20.1,29.3,29.8,30.4,22.0,22.3
Net Income USD Mil,569.0,395.0,106.0,648.0,662.0,617.0,476.0,865.0,760.0,907.0,850.0
Earnings Per Share USD,3.17,2.1,0.28,3.24,3.23,2.94,2.09,4.15,3.59,4.34,4.14
Dividends USD,3.38,3.58,2.07,2.6,2.76,2.76,2.92,2.92,2.52,2.52,2.65
Payout Ratio % *,118.8,314.7,,77.6,77.9,185.2,252.6,,96.9,120.5,72.4
Shares Mil,167.0,167.0,174.0,184.0,186.0,187.0,188.0,189.0,190.0,190.0,191.0
Book Value Per Share * USD,33.91,30.75,29.9,30.12,30.96,30.05,30.68,27.89,28.66,27.91,18.61
Operating Cash Flow USD Mil,697.0,818.0,634.0,771.0,702.0,825.0,1041.0,1135.0,672.0,1001.0,1090.0
Cap Spending USD Mil,-3039.0,-833.0,-682.0,-475.0,-350.0,-363.0,-469.0,-823.0,-792.0,-994.0,-788.0
Free Cash Flow USD Mil,-2342.0,-15.0,-48.0,296.0,353.0,463.0,571.0,312.0,-120.0,7.0,302.0
Free Cash Flow Per Share * USD,-13.02,-0.09,-0.28,1.61,1.57,2.48,3.73,2.07,-0.42,-0.69,
Working Capital USD Mil,,,,,,,,,,,
