Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,32996.0,30423.0,32778.0,24232.0,25051.0,27675.0,31867.0,28987.0,27326.0,28500.0,28996.0
Gross Margin %,37.8,35.7,35.9,35.0,37.5,36.8,33.8,36.0,37.3,37.6,37.1
Operating Income USD Mil,5381.0,-5650.0,3706.0,3663.0,4958.0,5375.0,5488.0,5906.0,5992.0,6555.0,6545.0
Operating Margin %,16.3,-18.6,11.3,15.1,19.8,19.4,17.2,20.4,21.9,23.0,22.6
Net Income USD Mil,5387.0,-3378.0,2539.0,2739.0,1179.0,7097.0,4514.0,8306.0,2755.0,2952.0,2986.0
Earnings Per Share USD,1.81,-1.29,0.97,1.04,0.47,3.03,1.99,3.9,1.42,1.59,1.61
Dividends USD,0.12,0.12,0.14,0.15,0.18,0.17,0.25,0.28,0.3,0.36,0.36
Payout Ratio % *,6.6,,13.9,13.2,12.5,6.6,15.2,6.4,24.7,21.9,22.2
Shares Mil,2971.0,2613.0,2628.0,2633.0,2504.0,2341.0,2269.0,2130.0,1945.0,1856.0,1854.0
Book Value Per Share * USD,10.97,8.88,9.58,11.23,11.71,12.98,7.91,8.82,7.74,8.11,8.8
Operating Cash Flow USD Mil,3925.0,2248.0,3854.0,4471.0,3790.0,3002.0,2964.0,3617.0,3048.0,3785.0,3543.0
Cap Spending USD Mil,-1443.0,-1101.0,-914.0,-1171.0,-939.0,-622.0,-678.0,-424.0,-263.0,-377.0,-405.0
Free Cash Flow USD Mil,2482.0,1147.0,2940.0,3300.0,2851.0,2380.0,2286.0,3193.0,2785.0,3408.0,3138.0
Free Cash Flow Per Share * USD,0.84,0.44,1.12,1.25,1.45,1.23,0.76,1.6,1.38,1.69,
Working Capital USD Mil,5180.0,5197.0,9162.0,12213.0,9831.0,7132.0,6520.0,10114.0,7881.0,9048.0,
