Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,4.0,6.0,8.0,6.0,5.0,4.0,2.0,1.0,1.0,2.0,2.0
Gross Margin %,24.5,23.9,18.9,24.6,22.7,23.2,23.9,61.0,58.3,57.9,57.6
Operating Income GBP Mil,-0.0,0.0,0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0,0.0,0.0
Operating Margin %,-4.0,3.1,0.9,-1.0,-9.5,-16.4,-15.3,-42.9,-8.3,0.6,3.1
Net Income GBP Mil,1.0,0.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-0.0,0.0,0.0
Earnings Per Share GBP,0.01,,,,-0.01,,,,,,
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,77.0,88.0,88.0,88.0,88.0,185.0,330.0,375.0,439.0,500.0,275.0
Book Value Per Share * GBP,0.02,0.02,0.02,0.02,0.01,,,,,0.01,0.01
Operating Cash Flow GBP Mil,-1.0,-1.0,-0.0,0.0,0.0,-1.0,0.0,-0.0,-0.0,-0.0,-0.0
Cap Spending GBP Mil,-0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
Free Cash Flow GBP Mil,-1.0,-1.0,-0.0,0.0,0.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow Per Share * GBP,-0.01,-0.01,-0.01,,,,,,,,
Working Capital GBP Mil,1.0,0.0,1.0,0.0,-0.0,0.0,0.0,1.0,1.0,1.0,
