Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,34.9,34.68,26.15,30.32,32.38,35.47,30.57,34.67,34.01,37.47,38.6
Accounts Receivable,6.35,8.03,5.64,6.81,7.06,6.19,5.78,5.49,5.73,6.56,7.24
Inventory,,,,,,,,,,,
Other Current Assets,3.79,4.27,2.17,2.38,2.51,1.76,2.62,2.51,1.38,1.93,1.48
Total Current Assets,45.03,46.98,33.97,39.5,41.95,43.42,38.98,42.67,41.12,45.96,47.32
Net PP&E,5.07,5.38,5.33,5.51,5.87,6.66,6.36,7.28,6.71,6.42,6.76
Intangibles,44.64,41.92,55.23,50.35,48.88,46.9,51.8,48.13,50.12,45.81,44.88
Other Long-Term Assets,5.25,5.72,5.47,4.63,3.31,3.01,2.86,1.92,2.05,1.81,1.04
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.17,0.96,0.81,0.64,0.96,0.5,0.6,0.63,0.8,0.69,0.65
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,0.64,0.93,0.47,0.76,0.27,0.45,0.29,0.64,0.72
Accrued Liabilities,6.78,7.48,6.28,6.76,7.07,5.65,6.07,6.13,5.36,5.28,6.11
Other Short-Term Liabilities,6.97,4.66,3.87,4.78,5.4,5.84,7.76,15.91,12.43,15.51,15.65
Total Current Liabilities,14.92,13.1,11.6,13.12,13.91,12.75,14.7,23.13,18.88,22.13,23.13
Long-Term Debt,,6.01,13.73,18.35,16.74,15.01,14.44,8.45,16.26,14.97,13.58
Other Long-Term Liabilities,3.7,5.13,7.51,4.75,5.03,5.42,6.08,5.6,5.15,4.47,4.54
Total Liabilities,18.62,24.24,32.84,36.22,35.68,33.18,35.22,37.18,40.29,41.57,41.25
Total Stockholders' Equity,81.38,75.76,67.16,63.78,64.32,66.82,64.78,62.82,59.71,58.43,58.75
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
