Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3172.0,4098.0,4377.0,4716.0,5049.0,5516.0,6932.0,9703.0,10763.0,11448.0,11838.0
Gross Margin %,89.4,90.2,91.3,91.5,90.8,90.1,87.6,87.9,88.5,87.1,87.3
Operating Income USD Mil,780.0,1214.0,1295.0,1249.0,1725.0,1809.0,2516.0,3972.0,4891.0,5150.0,4765.0
Operating Margin %,24.6,29.6,29.6,26.5,34.2,32.8,36.3,40.9,45.4,45.0,40.2
Net Income USD Mil,638.0,783.0,970.0,1005.0,1234.0,1380.0,1862.0,2935.0,3547.0,3703.0,3485.0
Earnings Per Share USD,1.99,2.65,3.35,3.94,5.04,5.76,7.81,12.37,15.34,16.93,16.31
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,320.0,295.0,289.0,255.0,245.0,240.0,238.0,237.0,231.0,219.0,214.0
Book Value Per Share * USD,,,,,,,449.76,655.59,840.85,1163.61,1167.03
Operating Cash Flow USD Mil,1021.0,1564.0,1075.0,1625.0,1728.0,1880.0,2345.0,2942.0,3716.0,4522.0,4550.0
Cap Spending USD Mil,-284.0,-276.0,-166.0,-173.0,-252.0,-261.0,-3509.0,-288.0,-643.0,-728.0,-1851.0
Free Cash Flow USD Mil,737.0,1289.0,909.0,1452.0,1476.0,1619.0,-1164.0,2654.0,3073.0,3794.0,2699.0
Free Cash Flow Per Share * USD,,,,,,,-83.48,162.6,225.17,307.79,
Working Capital USD Mil,179.0,1535.0,1766.0,1490.0,2063.0,1587.0,1427.0,2453.0,4123.0,5312.0,
