Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,34589.0,36556.0,30908.0,32350.0,36529.0,37665.0,39055.0,40306.0,38581.0,39302.0,39676.0
Gross Margin %,24.0,23.4,22.3,23.6,21.8,24.9,27.4,28.2,30.7,30.9,32.1
Operating Income USD Mil,3724.0,3529.0,2453.0,3108.0,2574.0,4156.0,5501.0,5831.0,6828.0,6683.0,7048.0
Operating Margin %,10.8,9.7,7.9,9.6,7.0,11.0,14.1,14.5,17.7,17.0,17.8
Net Income USD Mil,2444.0,2792.0,1548.0,2022.0,2067.0,2926.0,3924.0,4239.0,4768.0,4809.0,5100.0
Earnings Per Share USD,3.16,3.76,2.05,2.59,2.61,3.69,4.92,5.33,6.04,6.2,6.6
Dividends USD,0.66,0.65,,0.91,1.37,1.53,2.09,1.87,2.15,1.85,2.66
Payout Ratio % *,20.8,,,35.0,39.9,41.4,50.7,33.8,36.3,27.9,40.3
Shares Mil,773.0,744.0,755.0,780.0,792.0,791.0,797.0,795.0,789.0,775.0,772.0
Book Value Per Share * USD,12.35,,11.57,13.62,15.05,16.58,19.09,24.21,23.04,25.22,27.66
Operating Cash Flow USD Mil,3911.0,3791.0,3946.0,4203.0,2833.0,3517.0,4335.0,5024.0,5454.0,5498.0,5836.0
Cap Spending USD Mil,-767.0,-884.0,-609.0,-651.0,-798.0,-884.0,-947.0,-1094.0,-1073.0,-1095.0,-959.0
Free Cash Flow USD Mil,3144.0,2907.0,3337.0,3552.0,2035.0,2633.0,3388.0,3930.0,4381.0,4403.0,4877.0
Free Cash Flow Per Share * USD,4.07,,4.42,4.55,2.06,3.32,3.98,4.84,5.24,5.42,
Working Capital USD Mil,1744.0,974.0,2789.0,3294.0,3859.0,4553.0,6983.0,7418.0,1682.0,6727.0,
