Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,,,,5.27,15.77,36.64,43.08,36.37,27.35,9.45,7.04
Accounts Receivable,,,,20.05,18.86,16.01,14.17,13.96,12.0,11.03,10.84
Inventory,,,,29.33,27.79,20.7,19.26,19.31,21.3,22.8,27.51
Other Current Assets,,,,6.78,6.39,3.36,3.66,5.31,4.41,5.06,7.17
Total Current Assets,,,,61.43,68.81,76.71,80.16,74.94,65.05,48.34,52.56
Net PP&E,,,,29.87,25.32,18.77,15.82,20.91,29.54,24.55,22.23
Intangibles,,,,7.46,4.17,2.71,2.8,2.81,3.53,22.32,20.75
Other Long-Term Assets,,,,1.24,1.7,1.81,1.22,1.34,1.88,4.8,4.46
Total Assets,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,13.23,9.98,6.43,5.95,5.31,5.12,7.32,6.87
Short-Term Debt,,,,3.2,3.36,,,,,5.52,
Taxes Payable,,,,4.68,1.9,1.3,2.14,1.7,3.5,3.71,4.03
Accrued Liabilities,,,,6.53,7.74,4.05,5.82,3.79,8.13,6.91,7.4
Other Short-Term Liabilities,,,,4.33,1.48,0.96,,1.47,0.21,0.02,0.45
Total Current Liabilities,,,,31.97,24.47,12.74,13.91,12.26,16.97,23.48,18.75
Long-Term Debt,,,,25.44,,,,,0.09,,
Other Long-Term Liabilities,,,,11.21,7.89,6.05,4.62,4.49,5.19,10.42,9.95
Total Liabilities,,,,68.63,32.35,18.79,18.53,16.75,22.25,33.91,28.7
Total Stockholders' Equity,,,,31.37,67.65,81.21,81.47,83.25,77.75,66.09,71.3
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
