Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,17797.0,18576.0,18271.0,18218.0,10922.0,18338.0,26487.0,26212.0
Gross Margin %,,,,33.8,31.0,31.6,37.5,30.0,31.4,36.2,37.2
Operating Income USD Mil,,,,2965.0,2828.0,2670.0,4591.0,1568.0,2639.0,6142.0,6713.0
Operating Margin %,,,,16.7,15.2,14.6,25.2,14.4,14.4,23.2,25.6
Net Income USD Mil,,,,3534.0,1775.0,1642.0,2715.0,657.0,634.0,3632.0,3940.0
Earnings Per Share USD,,,,5.98,3.0,2.75,4.51,-0.17,-0.34,2.81,3.2
Dividends USD,,,,,,,,,1.7,2.35,2.42
Payout Ratio % *,,,,,,,,,,112.4,75.8
Shares Mil,,,,591.0,591.0,596.0,599.0,377.0,786.0,1226.0,1228.0
Book Value Per Share * USD,,,,,,,,,842.59,982.39,925.44
Operating Cash Flow USD Mil,,,,828.0,2664.0,3035.0,2043.0,2020.0,2467.0,5238.0,4238.0
Cap Spending USD Mil,,,,-448.0,-401.0,-440.0,-557.0,-535.0,-648.0,-1247.0,-1367.0
Free Cash Flow USD Mil,,,,380.0,2263.0,2595.0,1486.0,1485.0,1819.0,3991.0,2871.0
Free Cash Flow Per Share * USD,,,,,,,,,36.6,58.44,
Working Capital USD Mil,,,,,700.0,1217.0,1498.0,18.0,2848.0,-748.0,
