Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,22430.0,23252.0,26820.0,35622.0,37121.0,37180.0,38275.0,38226.0,37047.0,37728.0,38320.0
Gross Margin %,77.8,79.4,78.5,76.4,78.5,80.2,81.1,80.3,79.8,80.2,80.1
Operating Income USD Mil,7844.0,8321.0,9062.0,12033.0,13706.0,14684.0,14759.0,13871.0,12604.0,12710.0,12890.0
Operating Margin %,35.0,35.8,33.8,33.8,36.9,39.5,38.6,36.3,34.0,33.7,33.6
Net Income USD Mil,5521.0,5593.0,6135.0,8547.0,9981.0,10925.0,10955.0,9938.0,8901.0,9335.0,9713.0
Earnings Per Share USD,1.06,1.09,1.21,1.67,1.96,2.26,2.38,2.21,2.07,2.21,2.3
Dividends USD,,0.33,0.76,0.26,0.24,0.3,0.48,0.51,0.6,0.64,0.68
Payout Ratio % *,,,62.8,15.6,12.2,16.8,15.1,20.1,29.5,28.4,29.6
Shares Mil,5229.0,5130.0,5073.0,5128.0,5095.0,4844.0,4604.0,4503.0,4305.0,4217.0,4233.0
Book Value Per Share * USD,41.76,61.05,79.51,91.18,126.28,119.48,128.55,169.59,205.32,229.14,257.31
Operating Cash Flow USD Mil,7402.0,8255.0,8681.0,11214.0,13743.0,14224.0,14921.0,14336.0,13561.0,14126.0,14817.0
Cap Spending USD Mil,-243.0,-529.0,-230.0,-450.0,-648.0,-650.0,-580.0,-1391.0,-1189.0,-2021.0,-2195.0
Free Cash Flow USD Mil,7159.0,7726.0,8451.0,10764.0,13095.0,13574.0,14341.0,12945.0,12372.0,12105.0,12622.0
Free Cash Flow Per Share * USD,13.82,20.38,21.62,24.39,36.44,33.98,39.79,45.85,53.02,51.79,
Working Capital USD Mil,8074.0,9432.0,12313.0,24982.0,24635.0,28820.0,33749.0,47892.0,47105.0,50337.0,
