Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2453.0,2162.0,2702.0,2168.0,2254.0,2152.0,2034.0,2173.0,2073.0,2383.0,2552.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,737.0,39.0,-987.0,-403.0,521.0,542.0,406.0,621.0,452.0,705.0,883.0
Operating Margin %,30.1,1.8,-36.5,-18.6,23.1,25.2,20.0,28.6,21.8,29.6,34.6
Net Income USD Mil,494.0,-266.0,-1216.0,-293.0,324.0,350.0,264.0,398.0,309.0,469.0,606.0
Earnings Per Share USD,4.42,-2.68,-9.92,-2.48,0.83,0.97,1.58,1.68,1.2,1.99,2.66
Dividends USD,1.68,1.61,0.1,0.04,0.04,0.04,0.13,0.16,0.22,0.28,0.36
Payout Ratio % *,38.0,,,,,4.1,4.8,15.4,18.4,14.2,13.5
Shares Mil,109.0,109.0,124.0,166.0,183.0,183.0,184.0,193.0,204.0,204.0,208.0
Book Value Per Share * USD,47.17,42.65,27.85,25.12,24.8,26.73,28.85,31.12,32.45,34.32,36.02
Operating Cash Flow USD Mil,732.0,1174.0,1058.0,1461.0,1097.0,766.0,877.0,454.0,535.0,596.0,984.0
Cap Spending USD Mil,-91.0,-102.0,-103.0,-79.0,-78.0,-69.0,-89.0,-176.0,-157.0,-196.0,-186.0
Free Cash Flow USD Mil,642.0,1072.0,955.0,1382.0,1019.0,697.0,788.0,278.0,378.0,400.0,798.0
Free Cash Flow Per Share * USD,5.91,9.82,7.67,8.32,5.94,3.8,4.74,1.53,1.7,2.04,
Working Capital USD Mil,,,,,,,,,,,
