Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,2475.0,1116.0,2134.0,3238.0,2665.0,3599.0,4607.0,5259.0,5886.0,8014.0,8859.0
Gross Margin %,47.4,34.8,45.5,46.2,40.7,39.0,43.6,43.4,44.5,45.0,45.6
Operating Income USD Mil,509.0,-281.0,425.0,804.0,238.0,118.0,678.0,788.0,1074.0,1902.0,2279.0
Operating Margin %,20.6,-25.2,19.9,24.8,8.9,3.3,14.7,15.0,18.3,23.7,25.7
Net Income USD Mil,439.0,-302.0,347.0,724.0,169.0,114.0,632.0,656.0,914.0,1698.0,2025.0
Earnings Per Share USD,3.47,-2.41,2.71,5.79,1.35,0.66,3.62,3.7,5.22,9.24,10.98
Dividends USD,,,,,,,0.18,0.84,1.2,1.65,1.8
Payout Ratio % *,,,,,,,,16.9,26.7,19.0,16.4
Shares Mil,127.0,126.0,128.0,125.0,125.0,173.0,175.0,177.0,175.0,184.0,185.0
Book Value Per Share * USD,14.21,11.48,14.04,19.99,13.98,27.89,29.61,32.15,35.53,41.71,44.9
Operating Cash Flow USD Mil,590.0,-78.0,351.0,881.0,499.0,720.0,717.0,786.0,1350.0,2029.0,2414.0
Cap Spending USD Mil,-77.0,-44.0,-36.0,-127.0,-107.0,-161.0,-146.0,-198.0,-175.0,-157.0,-176.0
Free Cash Flow USD Mil,514.0,-122.0,315.0,754.0,392.0,559.0,572.0,587.0,1175.0,1872.0,2239.0
Free Cash Flow Per Share * USD,4.06,-0.97,2.46,6.03,4.04,2.96,2.92,3.14,5.9,8.53,
Working Capital USD Mil,1280.0,855.0,1198.0,2593.0,2988.0,2389.0,3202.0,3639.0,6795.0,6192.0,
