Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,19.0,20.0,22.0,21.0,21.0,20.0,19.0,18.0,16.0,14.0,14.0
Gross Margin %,75.1,72.2,66.5,66.7,69.3,70.6,72.0,76.2,75.8,79.0,79.0
Operating Income AUD Mil,-2.0,-12.0,2.0,2.0,5.0,5.0,3.0,3.0,1.0,-12.0,-12.0
Operating Margin %,-11.8,-60.9,8.0,8.6,26.3,26.0,16.8,14.9,9.3,-89.8,-89.8
Net Income AUD Mil,-3.0,-10.0,1.0,2.0,6.0,6.0,4.0,5.0,0.0,-6.0,-6.0
Earnings Per Share AUD,-0.07,-0.17,0.01,0.01,0.05,0.05,0.03,0.03,,-0.04,-0.04
Dividends AUD,,,,,,0.01,0.01,0.01,,,
Payout Ratio % *,,,,,,,65.0,56.4,207.4,,
Shares Mil,188.0,250.0,484.0,484.0,484.0,490.0,505.0,510.0,512.0,512.0,512.0
Book Value Per Share * AUD,0.05,0.01,0.01,0.02,0.03,0.06,0.07,0.08,0.08,0.07,0.05
Operating Cash Flow AUD Mil,4.0,-1.0,2.0,4.0,5.0,7.0,6.0,4.0,-1.0,0.0,0.0
Cap Spending AUD Mil,-6.0,-3.0,-2.0,-0.0,-0.0,-0.0,-0.0,-1.0,-2.0,-4.0,-4.0
Free Cash Flow AUD Mil,-2.0,-4.0,0.0,3.0,4.0,7.0,6.0,3.0,-4.0,-4.0,-4.0
Free Cash Flow Per Share * AUD,-0.01,-0.02,,0.01,0.01,0.01,0.01,0.01,,-0.01,
Working Capital AUD Mil,-15.0,-12.0,-7.0,-7.0,-0.0,5.0,8.0,8.0,7.0,7.0,
