Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,,,,,,1.42,3.39,5.1,6.49
Accounts Receivable,,,,,,,,3.81,3.07,4.98,5.99
Inventory,,,,,,,,8.04,7.14,6.93,7.67
Other Current Assets,,,,,,,,2.34,2.03,2.0,1.91
Total Current Assets,,,,,,,,15.62,15.63,19.0,22.05
Net PP&E,,,,,,,,60.63,57.21,55.7,53.8
Intangibles,,,,,,,,1.23,1.25,1.73,
Other Long-Term Assets,,,,,,,,22.52,25.91,23.56,24.16
Total Assets,,,,,,,,100.0,100.0,100.0,100.0
Accounts Payable,,,,,,,,9.31,8.4,8.69,9.38
Short-Term Debt,,,,,,,,0.16,0.11,0.13,0.1
Taxes Payable,,,,,,,,0.75,0.83,0.88,0.96
Accrued Liabilities,,,,,,,,2.54,2.47,2.72,2.61
Other Short-Term Liabilities,,,,,,,,1.88,2.84,4.43,2.98
Total Current Liabilities,,,,,,,,14.64,14.65,16.85,16.03
Long-Term Debt,,,,,,,,1.68,1.26,8.51,8.02
Other Long-Term Liabilities,,,,,,,,26.94,26.56,40.87,41.97
Total Liabilities,,,,,,,,43.26,42.47,66.23,66.03
Total Stockholders' Equity,,,,,,,,56.74,57.53,33.77,33.97
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
