Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,607.0,725.0,856.0,1064.0,1473.0,1835.0,2332.0,3084.0,3963.0,4825.0,4916.0
Gross Margin %,50.3,48.9,47.9,49.9,48.4,47.9,48.7,49.0,48.1,46.4,45.4
Operating Income USD Mil,86.0,77.0,85.0,112.0,163.0,209.0,265.0,354.0,409.0,417.0,229.0
Operating Margin %,14.2,10.6,10.0,10.6,11.1,11.4,11.4,11.5,10.3,8.7,4.7
Net Income USD Mil,53.0,38.0,47.0,68.0,97.0,129.0,162.0,208.0,233.0,257.0,143.0
Earnings Per Share USD,0.13,0.1,0.12,0.17,0.23,0.3,0.38,0.47,0.53,0.45,0.32
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,400.0,403.0,405.0,410.0,420.0,426.0,432.0,439.0,442.0,445.0,448.0
Book Value Per Share * USD,,,,,,29.99,34.81,47.28,67.11,90.94,91.27
Operating Cash Flow USD Mil,-15.0,70.0,119.0,50.0,15.0,200.0,120.0,219.0,-44.0,304.0,311.0
Cap Spending USD Mil,-34.0,-39.0,-20.0,-30.0,-79.0,-51.0,-88.0,-141.0,-299.0,-387.0,-291.0
Free Cash Flow USD Mil,-49.0,30.0,99.0,20.0,-64.0,149.0,32.0,79.0,-343.0,-82.0,20.0
Free Cash Flow Per Share * USD,,,,,,4.57,0.56,1.27,-11.47,-10.22,
Working Capital USD Mil,227.0,263.0,328.0,407.0,506.0,651.0,702.0,1128.0,1020.0,1279.0,
