Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,18.1,16.85,15.47,15.79,14.15,15.49,19.02,10.4,5.61,5.19,4.34
Accounts Receivable,17.37,21.61,15.51,14.09,13.88,14.22,13.03,15.36,17.82,18.49,19.05
Inventory,15.16,14.64,13.43,12.69,14.34,13.31,11.65,15.11,18.59,18.52,18.71
Other Current Assets,4.32,0.38,0.53,4.36,3.09,1.16,1.14,1.11,0.03,,
Total Current Assets,54.94,53.48,44.95,46.93,45.46,44.18,44.85,41.98,42.05,42.2,42.11
Net PP&E,4.52,3.96,3.31,2.52,2.44,3.41,3.23,3.82,4.91,3.99,3.94
Intangibles,40.13,41.57,50.84,45.35,45.68,43.98,42.01,45.78,51.95,52.63,52.7
Other Long-Term Assets,0.41,0.99,0.91,5.2,6.43,8.44,9.92,8.41,1.09,1.19,1.25
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.68,5.74,4.53,3.94,3.92,3.51,3.46,4.63,7.31,5.75,5.13
Short-Term Debt,2.19,1.67,0.01,,,,3.69,3.68,2.04,2.2,2.55
Taxes Payable,,,0.34,0.46,0.2,0.38,0.07,0.41,0.24,0.21,0.12
Accrued Liabilities,5.28,5.45,3.43,3.76,2.62,2.63,3.75,3.28,3.34,4.22,3.43
Other Short-Term Liabilities,3.38,0.93,3.11,0.88,0.81,0.91,0.91,1.32,3.22,1.17,0.93
Total Current Liabilities,16.53,13.8,11.43,9.05,7.55,7.42,11.87,13.32,16.14,13.55,12.16
Long-Term Debt,5.64,0.07,12.41,14.43,12.87,9.7,14.58,12.1,13.68,10.55,9.57
Other Long-Term Liabilities,2.83,4.03,5.98,4.2,4.17,4.81,3.79,4.34,5.62,8.9,9.18
Total Liabilities,25.0,17.91,29.82,27.68,24.59,21.93,30.25,29.76,35.45,33.01,30.91
Total Stockholders' Equity,75.0,82.09,70.18,72.32,75.41,78.07,69.75,70.24,64.55,66.99,69.09
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
