Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,417.0,426.0,437.0,508.0,512.0,572.0,617.0,635.0,657.0,1753.0
Gross Margin %,,100.0,100.0,100.0,100.0,100.0,100.0,,,,
Operating Income USD Mil,,187.0,178.0,167.0,242.0,244.0,286.0,314.0,320.0,298.0,338.0
Operating Margin %,,44.9,41.7,38.3,47.6,47.6,50.0,50.8,50.4,45.4,19.3
Net Income USD Mil,,115.0,106.0,99.0,139.0,157.0,176.0,190.0,205.0,186.0,189.0
Earnings Per Share USD,,1.24,1.17,1.03,1.52,1.78,1.99,2.21,2.46,2.27,1.89
Dividends USD,,,,0.2,0.44,0.54,0.66,0.78,0.88,0.96,0.77
Payout Ratio % *,,,,,,,,,,40.3,40.7
Shares Mil,,93.0,91.0,96.0,90.0,87.0,87.0,85.0,83.0,81.0,100.0
Book Value Per Share * USD,,,,,,,,,,73.86,486.78
Operating Cash Flow USD Mil,,165.0,113.0,135.0,203.0,201.0,224.0,263.0,245.0,230.0,234.0
Cap Spending USD Mil,,-44.0,-38.0,-24.0,-29.0,-30.0,-29.0,-50.0,-39.0,-44.0,-34.0
Free Cash Flow USD Mil,,121.0,75.0,111.0,174.0,170.0,196.0,213.0,206.0,185.0,200.0
Free Cash Flow Per Share * USD,,,,,,,,,,44.77,
Working Capital USD Mil,,270.0,-39.0,61.0,137.0,151.0,201.0,170.0,130.0,145.0,
