Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,575.0,618.0,405.0,420.0,516.0,526.0,512.0,536.0,382.0,406.0,427.0
Gross Margin %,100.0,100.0,100.0,97.8,100.0,99.0,100.0,,,,
Operating Income GBP Mil,52.0,-1776.0,-300.0,734.0,-474.0,387.0,421.0,892.0,618.0,397.0,314.0
Operating Margin %,9.0,-287.3,-74.0,174.5,-91.9,73.6,82.3,166.4,161.8,97.7,73.4
Net Income GBP Mil,-105.0,-2451.0,-339.0,512.0,30.0,156.0,360.0,586.0,518.0,182.0,258.0
Earnings Per Share GBP,-0.26,-6.15,-0.62,0.73,0.03,0.16,0.32,0.46,0.38,0.11,0.17
Dividends GBP,0.31,0.31,0.05,0.13,0.14,0.14,0.23,0.14,0.14,0.14,0.14
Payout Ratio % *,,,,21.9,27.8,86.7,89.6,24.2,82.5,63.4,83.3
Shares Mil,415.0,415.0,563.0,703.0,928.0,1004.0,1150.0,1311.0,1405.0,1441.0,1448.0
Book Value Per Share * GBP,11.28,4.87,3.53,2.98,3.3,3.11,3.16,3.45,3.51,3.59,3.68
Operating Cash Flow GBP Mil,31.0,77.0,63.0,-288.0,33.0,76.0,-22.0,57.0,160.0,131.0,126.0
Cap Spending GBP Mil,-576.0,-271.0,-190.0,-47.0,-26.0,-81.0,-45.0,-70.0,-100.0,-121.0,-155.0
Free Cash Flow GBP Mil,-544.0,-193.0,-126.0,-336.0,5.0,-6.0,-66.0,-13.0,59.0,11.0,-28.0
Free Cash Flow Per Share * GBP,-1.3,-0.46,-0.22,-0.48,-0.03,-0.01,-0.06,,0.02,0.03,
Working Capital GBP Mil,-205.0,-1050.0,246.0,199.0,-199.0,-77.0,-90.0,-8.0,-39.0,-82.0,
