Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,8.61,6.37,9.61,5.94,6.37,6.61,11.38,5.7,4.18,4.8,3.84
Accounts Receivable,18.84,17.73,15.54,14.48,13.63,15.09,12.05,9.56,8.33,6.41,7.23
Inventory,13.39,13.6,13.0,11.68,11.05,13.76,12.55,7.73,8.04,8.33,8.87
Other Current Assets,4.06,3.94,4.0,3.81,15.46,4.64,4.41,3.85,1.2,1.0,1.12
Total Current Assets,44.9,41.64,42.15,35.91,46.5,40.1,40.38,26.84,21.74,20.55,21.06
Net PP&E,10.58,12.17,12.88,14.14,11.79,13.44,14.77,8.87,8.46,8.96,8.81
Intangibles,41.99,41.27,39.58,46.72,37.85,41.17,39.92,61.87,62.66,64.12,63.9
Other Long-Term Assets,2.53,4.92,5.39,3.23,3.86,5.29,4.93,2.41,7.14,6.37,6.23
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,8.57,8.24,6.96,7.3,6.81,6.99,6.58,4.43,5.02,5.35,4.48
Short-Term Debt,0.31,2.38,0.65,3.0,2.94,3.25,1.21,1.24,3.31,6.28,5.96
Taxes Payable,,,,,0.21,,,0.43,0.09,0.31,1.27
Accrued Liabilities,5.25,6.47,10.71,9.1,8.92,10.09,9.38,7.92,4.98,4.53,4.67
Other Short-Term Liabilities,7.7,7.76,3.71,3.77,6.41,6.38,5.43,3.35,2.98,2.62,2.61
Total Current Liabilities,21.83,24.85,22.03,23.17,25.29,26.7,22.6,17.37,16.37,19.09,18.99
Long-Term Debt,18.25,26.37,24.85,30.57,33.67,32.46,31.96,38.49,34.34,33.66,33.62
Other Long-Term Liabilities,10.04,6.92,6.88,5.72,6.37,8.7,8.41,18.26,23.81,18.24,17.81
Total Liabilities,50.12,58.14,53.75,59.47,65.33,67.86,62.97,74.13,74.52,70.98,70.42
Total Stockholders' Equity,49.88,41.86,46.25,40.53,34.67,32.14,37.03,25.87,25.48,29.02,29.58
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
