Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,5841.0,4803.0,8482.0,8788.0,8234.0,9073.0,16358.0,16192.0,12399.0,20322.0,20322.0
Gross Margin %,-0.9,-9.2,32.0,20.0,11.8,20.4,33.2,32.2,20.2,41.5,41.5
Operating Income USD Mil,-1595.0,-1676.0,1589.0,761.0,-612.0,236.0,3087.0,2998.0,168.0,5868.0,5868.0
Operating Margin %,-27.3,-34.9,18.7,8.7,-7.4,2.6,18.9,18.5,1.4,28.9,28.9
Net Income USD Mil,-1619.0,-1882.0,1850.0,167.0,-1032.0,1190.0,3045.0,2899.0,-276.0,5089.0,5089.0
Earnings Per Share USD,-2.1,-2.35,1.85,0.17,-1.04,1.13,2.54,2.47,-0.27,4.41,4.41
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,773.0,801.0,1051.0,1008.0,991.0,1057.0,1198.0,1170.0,1036.0,1154.0,1154.0
Book Value Per Share * USD,88.0,73.28,106.17,105.67,101.1,93.69,121.24,192.9,220.78,258.02,309.86
Operating Cash Flow USD Mil,1018.0,1206.0,3096.0,2484.0,2114.0,1811.0,5699.0,5208.0,3168.0,8153.0,8153.0
Cap Spending USD Mil,-2529.0,-488.0,-616.0,-2550.0,-1699.0,-1244.0,-2658.0,-4021.0,-5817.0,-4734.0,-4734.0
Free Cash Flow USD Mil,-1511.0,718.0,2480.0,-66.0,415.0,567.0,3041.0,1187.0,-2649.0,3419.0,3419.0
Free Cash Flow Per Share * USD,-21.89,11.96,31.07,-0.82,5.59,3.26,35.98,34.0,-41.92,7.22,
Working Capital USD Mil,2181.0,1452.0,3631.0,3352.0,3515.0,4786.0,5434.0,4691.0,4660.0,7123.0,
