Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,4277.0,4271.0,4227.0,4429.0,4779.0,4504.0,4412.0,4262.0,4025.0,4036.0,4078.0
Gross Margin %,85.6,82.9,88.0,86.9,86.6,86.0,85.3,85.1,85.5,85.8,85.7
Operating Income USD Mil,860.0,1127.0,1228.0,1254.0,1380.0,1304.0,1275.0,1162.0,1135.0,1135.0,1068.0
Operating Margin %,20.1,26.4,29.1,28.3,28.9,29.0,28.9,27.3,28.2,28.1,26.2
Net Income USD Mil,500.0,671.0,771.0,827.0,951.0,955.0,914.0,846.0,783.0,775.0,727.0
Earnings Per Share USD,0.93,1.29,1.47,1.61,1.93,2.06,2.02,1.9,1.81,1.85,1.73
Dividends USD,0.16,0.16,0.16,0.16,0.4,1.0,1.0,1.0,1.0,1.02,1.02
Payout Ratio % *,17.2,12.4,10.9,10.0,10.4,50.8,43.2,57.1,58.8,54.0,59.0
Shares Mil,541.0,537.0,533.0,507.0,487.0,457.0,448.0,441.0,427.0,415.0,416.0
Book Value Per Share * USD,7.28,8.37,9.78,11.19,12.29,12.08,12.97,13.17,12.67,13.49,14.18
Operating Cash Flow USD Mil,1103.0,1212.0,1360.0,1381.0,1478.0,1408.0,997.0,982.0,1022.0,1039.0,1233.0
Cap Spending USD Mil,-256.0,-288.0,-267.0,-262.0,-252.0,-215.0,-105.0,-53.0,-48.0,-47.0,-53.0
Free Cash Flow USD Mil,847.0,924.0,1093.0,1119.0,1226.0,1193.0,892.0,929.0,974.0,992.0,1180.0
Free Cash Flow Per Share * USD,1.57,1.71,2.05,2.21,2.18,2.99,2.13,2.23,2.32,2.47,
Working Capital USD Mil,190.0,102.0,402.0,447.0,214.0,585.0,637.0,1049.0,667.0,727.0,
