Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,16.57,12.6,18.17,22.88,17.4,15.97,16.29,14.79,14.32,14.19,12.54
Accounts Receivable,1.66,1.46,1.18,1.26,1.65,1.79,2.17,1.81,2.22,2.34,2.39
Inventory,1.54,1.42,1.55,1.57,2.22,2.52,2.41,1.69,1.46,1.45,1.81
Other Current Assets,6.71,4.74,2.63,1.96,2.77,2.45,2.16,3.51,0.88,1.33,0.92
Total Current Assets,26.49,20.22,23.53,27.67,24.05,22.73,23.03,21.8,18.88,19.32,17.65
Net PP&E,64.83,77.16,74.53,68.41,67.12,68.65,69.21,70.75,73.2,73.19,74.87
Intangibles,,,,,5.37,5.96,5.87,6.6,6.73,6.0,5.72
Other Long-Term Assets,8.68,2.62,1.94,3.92,3.46,2.66,1.88,0.85,1.19,1.49,1.76
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.53,4.67,5.23,4.78,5.85,5.95,0.98,5.96,0.84,0.59,0.68
Short-Term Debt,0.24,1.14,1.33,3.27,3.56,1.46,3.25,1.28,2.99,2.43,1.3
Taxes Payable,,,,,,0.36,0.75,,1.13,1.08,1.07
Accrued Liabilities,18.52,7.07,4.88,5.58,5.51,5.3,6.35,7.75,11.87,8.23,6.24
Other Short-Term Liabilities,5.55,6.73,7.32,7.75,10.16,11.94,18.0,14.34,17.93,17.05,19.43
Total Current Liabilities,28.85,19.61,18.75,21.37,25.09,25.01,29.34,29.32,34.75,29.39,28.72
Long-Term Debt,12.22,24.45,23.3,18.59,17.2,15.5,11.33,12.05,11.92,12.11,11.39
Other Long-Term Liabilities,17.55,21.32,19.64,19.7,19.65,21.89,21.41,25.09,18.8,22.25,23.59
Total Liabilities,58.62,65.38,61.69,59.67,61.94,62.4,62.08,66.46,65.47,63.75,63.71
Total Stockholders' Equity,41.38,34.62,38.31,40.33,38.06,37.6,37.92,33.54,34.53,36.25,36.29
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
