Key Financials NZD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue NZD Mil,4667.0,4609.0,4046.0,4341.0,4483.0,4618.0,4663.0,4925.0,5231.0,5109.0,5109.0
Gross Margin %,76.0,63.4,76.8,75.0,72.8,73.9,76.0,77.9,83.8,83.8,83.8
Operating Income NZD Mil,359.0,78.0,151.0,109.0,158.0,310.0,403.0,526.0,710.0,571.0,571.0
Operating Margin %,7.7,1.7,3.7,2.5,3.5,6.7,8.6,10.7,13.6,11.2,11.2
Net Income NZD Mil,218.0,21.0,82.0,81.0,71.0,182.0,262.0,327.0,463.0,382.0,382.0
Earnings Per Share NZD,0.2,0.02,0.07,0.07,0.07,0.17,0.23,0.29,0.4,0.34,0.34
Dividends NZD,0.1,0.07,0.04,0.09,0.03,0.05,0.05,0.22,0.2,0.28,0.28
Payout Ratio % *,48.8,332.5,46.5,126.6,231.9,30.2,39.1,68.6,33.8,78.1,83.4
Shares Mil,1055.0,1061.0,1073.0,1084.0,1096.0,1103.0,1110.0,1124.0,1135.0,1140.0,1140.0
Book Value Per Share * NZD,1.19,1.21,1.18,1.07,1.13,1.33,1.51,1.42,1.76,1.72,1.62
Operating Cash Flow NZD Mil,743.0,486.0,334.0,466.0,472.0,750.0,730.0,1100.0,1074.0,904.0,904.0
Cap Spending NZD Mil,-284.0,-318.0,-433.0,-797.0,-623.0,-426.0,-644.0,-1118.0,-998.0,-853.0,-853.0
Free Cash Flow NZD Mil,459.0,168.0,-99.0,-331.0,-151.0,324.0,86.0,-18.0,76.0,51.0,51.0
Free Cash Flow Per Share * NZD,0.35,0.13,-0.08,-0.23,-0.17,0.16,0.22,-0.13,-0.02,-0.03,
Working Capital NZD Mil,420.0,516.0,81.0,-341.0,17.0,148.0,-45.0,-146.0,-132.0,-518.0,
