Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,,,8752.0,9095.0,8654.0,8891.0,8486.0,8524.0,8292.0,8139.0,8232.0
Gross Margin %,,,42.8,42.5,40.8,39.0,40.2,41.9,43.0,44.4,45.1
Operating Income USD Mil,,,399.0,783.0,299.0,140.0,411.0,447.0,337.0,436.0,578.0
Operating Margin %,,,4.6,8.6,3.5,1.6,4.8,5.2,4.1,5.4,7.0
Net Income USD Mil,,,243.0,678.0,-2075.0,506.0,239.0,-147.0,179.0,-738.0,-655.0
Earnings Per Share USD,,,,1.17,-3.58,0.87,0.41,-0.26,0.3,-1.27,-1.12
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,579.0,578.0,579.0,580.0,583.0,583.0,581.0,582.0
Book Value Per Share * USD,,,,,,23.4,23.9,27.73,26.88,24.91,24.79
Operating Cash Flow USD Mil,,,1047.0,1331.0,851.0,501.0,854.0,831.0,952.0,494.0,761.0
Cap Spending USD Mil,,,-328.0,-549.0,-375.0,-332.0,-379.0,-378.0,-256.0,-256.0,-269.0
Free Cash Flow USD Mil,,,719.0,782.0,476.0,169.0,475.0,453.0,696.0,238.0,492.0
Free Cash Flow Per Share * USD,,,,,,0.63,0.97,0.78,0.58,0.9,
Working Capital USD Mil,,,,1426.0,648.0,2472.0,3006.0,1820.0,1447.0,1363.0,
