Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,45987.0,22222.0,45173.0,39161.0,28811.0,34163.0,34206.0,34528.0,33820.0,30608.0,32409.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,17604.0,2336.0,19829.0,12892.0,6169.0,11207.0,11737.0,12357.0,8778.0,10304.0,11421.0
Operating Margin %,38.3,10.5,43.9,32.9,21.4,32.8,34.3,35.8,26.0,33.7,35.2
Net Income USD Mil,11599.0,2322.0,13385.0,8354.0,4442.0,7475.0,8040.0,8477.0,6083.0,7398.0,8561.0
Earnings Per Share USD,24.73,4.47,22.13,13.18,4.51,14.13,15.46,17.07,12.14,16.29,19.16
Dividends USD,1.4,1.4,1.52,1.4,1.4,2.12,2.05,2.25,2.55,2.6,2.8
Payout Ratio % *,,,6.9,10.6,21.6,15.0,12.2,12.8,16.4,20.7,14.6
Shares Mil,461.0,456.0,550.0,585.0,556.0,516.0,500.0,473.0,459.0,435.0,416.0
Book Value Per Share * USD,,,1617.9,1719.89,1933.94,1948.23,2063.79,2504.64,3170.64,4007.86,3820.23
Operating Cash Flow USD Mil,-68197.0,1894.0,48875.0,-6157.0,21645.0,12879.0,4543.0,-7623.0,6961.0,5570.0,-8514.0
Cap Spending USD Mil,-2037.0,-1906.0,-1556.0,-1227.0,-1184.0,-961.0,-706.0,-678.0,-1833.0,-2876.0,-3023.0
Free Cash Flow USD Mil,-70234.0,-12.0,47319.0,-7384.0,20461.0,11918.0,3837.0,-8301.0,5128.0,2694.0,-11537.0
Free Cash Flow Per Share * USD,,,1122.77,-156.43,-199.93,301.04,61.35,-339.08,141.6,275.65,
Working Capital USD Mil,,,,,,,,,,,
