Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,1841.0,1825.0,1834.0,2369.0,2241.0,2169.0,2383.0,2377.0,2214.0,2349.0,2430.0
Gross Margin %,62.7,63.3,63.4,65.4,64.9,66.0,68.8,70.2,69.7,69.9,69.5
Operating Income USD Mil,424.0,430.0,432.0,795.0,628.0,581.0,749.0,755.0,670.0,699.0,702.0
Operating Margin %,23.0,23.5,23.6,33.6,28.0,26.8,31.4,31.8,30.3,29.8,28.9
Net Income USD Mil,374.0,362.0,357.0,642.0,530.0,488.0,630.0,648.0,551.0,623.0,630.0
Earnings Per Share USD,1.25,1.31,1.29,2.39,1.95,1.79,2.19,2.35,2.05,2.32,2.38
Dividends USD,0.48,0.56,0.6,0.64,0.76,0.88,1.0,1.16,1.24,1.32,1.36
Payout Ratio % *,,,,,,,45.3,47.1,60.7,57.0,57.1
Shares Mil,299.0,277.0,277.0,268.0,272.0,273.0,287.0,276.0,269.0,269.0,266.0
Book Value Per Share * USD,,,,,,,142.08,158.02,175.06,186.58,190.11
Operating Cash Flow USD Mil,581.0,443.0,554.0,724.0,827.0,657.0,805.0,791.0,730.0,934.0,805.0
Cap Spending USD Mil,-46.0,-39.0,-28.0,-65.0,-70.0,-30.0,-45.0,-30.0,-34.0,-72.0,-62.0
Free Cash Flow USD Mil,535.0,403.0,526.0,659.0,757.0,626.0,760.0,761.0,696.0,862.0,743.0
Free Cash Flow Per Share * USD,,,,,,,34.76,42.09,47.97,46.77,
Working Capital USD Mil,1480.0,1519.0,1550.0,2255.0,2108.0,1911.0,2078.0,2972.0,2973.0,2983.0,
