Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1447.0,1730.0,2007.0,2268.0,2755.0,3173.0,3540.0,3914.0,4227.0,5281.0,4994.0
Gross Margin %,27.7,29.9,29.7,32.9,34.3,34.5,36.2,37.1,38.9,38.9,39.1
Operating Income USD Mil,99.0,195.0,247.0,336.0,490.0,569.0,679.0,571.0,673.0,-2000.0,-45.0
Operating Margin %,6.8,11.3,12.3,14.8,17.8,17.9,19.2,14.6,15.9,-37.9,-0.9
Net Income USD Mil,74.0,136.0,144.0,224.0,339.0,402.0,441.0,233.0,136.0,-4013.0,-1313.0
Earnings Per Share USD,0.79,1.43,1.54,2.41,3.63,4.27,4.68,2.01,0.97,-28.01,-9.16
Dividends USD,0.18,0.2,0.21,0.3,0.29,0.31,0.52,0.39,0.46,0.58,0.47
Payout Ratio % *,,,,,,,,,,49.5,
Shares Mil,94.0,95.0,94.0,93.0,94.0,94.0,95.0,115.0,140.0,143.0,143.0
Book Value Per Share * USD,,,,,,,,,,233.28,152.32
Operating Cash Flow USD Mil,129.0,248.0,258.0,314.0,374.0,513.0,553.0,694.0,1198.0,654.0,688.0
Cap Spending USD Mil,-105.0,-57.0,-59.0,-56.0,-99.0,-120.0,-104.0,-171.0,-137.0,-106.0,-76.0
Free Cash Flow USD Mil,24.0,191.0,199.0,258.0,275.0,393.0,449.0,521.0,1061.0,549.0,611.0
Free Cash Flow Per Share * USD,,,,,,,,,,26.77,
Working Capital USD Mil,339.0,671.0,652.0,475.0,771.0,1143.0,1488.0,1476.0,1489.0,969.0,
