Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,3.2,3.51,7.24,10.77,10.89,13.63,14.6,4.76,4.17
Accounts Receivable,,,23.63,18.47,17.21,16.58,16.69,15.85,16.08,13.02,14.6
Inventory,,,11.87,10.41,9.7,9.47,9.7,9.99,9.3,8.06,8.29
Other Current Assets,,,4.22,3.37,3.23,3.23,3.76,3.74,3.07,2.56,2.36
Total Current Assets,,,42.92,35.77,37.38,40.05,41.03,43.22,43.05,28.41,29.41
Net PP&E,,,13.18,12.16,10.54,10.41,9.97,9.48,9.43,9.51,9.39
Intangibles,,,41.85,49.61,48.14,45.54,45.06,42.48,43.35,59.21,57.72
Other Long-Term Assets,,,2.05,2.46,3.94,4.0,3.94,4.83,4.17,2.87,3.48
Total Assets,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,10.1,8.27,7.33,7.1,6.78,6.95,7.26,7.06,7.03
Short-Term Debt,,,,,0.11,0.13,0.86,1.83,1.67,4.02,1.43
Taxes Payable,,,,,1.75,1.07,0.92,1.58,1.37,0.97,1.03
Accrued Liabilities,,,12.43,9.1,8.01,7.12,8.86,8.31,7.37,7.07,7.25
Other Short-Term Liabilities,,,,,1.39,1.28,,,,,
Total Current Liabilities,,,22.52,17.38,18.6,16.69,17.42,18.67,17.67,19.12,16.75
Long-Term Debt,,,,,27.34,25.63,24.49,24.65,25.68,32.56,32.27
Other Long-Term Liabilities,,,10.93,9.83,12.47,13.36,12.32,12.95,11.9,14.49,14.67
Total Liabilities,,,33.45,27.2,58.41,55.67,54.23,56.27,55.25,66.17,63.69
Total Stockholders' Equity,,,66.55,72.8,41.59,44.33,45.77,43.73,44.75,33.83,36.31
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
