Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.74,0.22,0.77,0.94,1.65,0.96,2.46,1.58,2.07,1.61,0.14
Accounts Receivable,3.95,3.23,5.95,5.84,4.85,4.77,4.93,4.64,4.12,3.79,3.55
Inventory,1.43,1.54,1.05,0.96,0.91,0.8,0.89,0.84,0.77,0.7,0.68
Other Current Assets,3.07,4.91,1.81,1.96,1.87,1.85,1.28,1.64,1.45,0.96,1.91
Total Current Assets,9.19,9.91,9.57,9.7,9.28,8.37,9.57,8.7,8.4,7.06,6.29
Net PP&E,67.52,62.31,66.32,66.02,63.99,65.37,69.96,67.32,70.57,72.98,74.58
Intangibles,1.45,1.24,1.24,1.2,1.1,1.05,1.07,0.97,0.94,1.14,1.1
Other Long-Term Assets,21.85,26.54,22.87,23.08,25.63,25.21,19.4,23.01,20.08,18.82,18.03
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.19,3.47,3.18,3.18,2.45,2.95,2.5,2.3,2.21,2.38,2.15
Short-Term Debt,5.82,2.52,2.16,0.01,1.35,3.02,4.76,3.07,4.97,2.27,2.12
Taxes Payable,,,0.44,0.25,0.48,0.39,1.17,0.16,0.14,0.13,0.09
Accrued Liabilities,3.74,3.58,0.73,0.71,0.64,0.6,0.84,0.51,0.51,0.52,0.64
Other Short-Term Liabilities,,,2.21,2.39,2.7,2.61,2.36,2.49,2.52,2.67,2.96
Total Current Liabilities,13.74,9.57,8.71,6.55,7.62,9.57,11.64,8.53,10.34,7.96,7.95
Long-Term Debt,26.85,27.56,29.09,29.52,25.87,24.42,25.81,26.25,26.3,30.54,29.75
Other Long-Term Liabilities,26.63,33.29,31.31,32.74,36.81,37.21,32.43,36.83,34.76,31.87,31.63
Total Liabilities,67.23,70.41,69.11,68.81,70.29,71.2,69.87,71.62,71.4,70.37,69.33
Total Stockholders' Equity,32.77,29.59,30.89,31.19,29.71,28.8,30.13,28.38,28.6,29.63,30.67
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
